  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 64(2)-415 [NACA 6a series from Theory of Wi
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000 -22.4707   0.55736   0.13159-194.7413   0.5668   0.0235
  -4.500 -16.5657   0.54317   0.11927-347.4857   0.5598   0.0268
  -4.000 -10.6814   0.53402   0.10938-499.5199   0.5475   0.0290
  -3.500  -4.7664   0.52196   0.09938-653.1179   0.5402   0.0343
  -3.000   1.1346   0.50824   0.08954-806.5522   0.5290   0.0500
  -2.500   7.0381   0.49387   0.08102-960.3618   0.5192   0.0739
  -2.000  12.9656   0.47738   0.07334*********   0.5102   0.1084
  -1.500  18.8698   0.45924   0.06651*********   0.4968   0.1629
  -1.000  24.7709   0.44634   0.06251*********   0.4813   0.2141
  -0.500  30.6817   0.41999   0.05768*********   0.4669   0.3147
   0.000  36.6425   0.38916   0.05188*********   0.4591   0.4232
   0.500  42.5530   0.38833   0.05450*********   0.4439   0.4559
   1.000  48.2830   0.40914   0.06387*********   0.4012   0.4713
   1.500  53.7247   0.45687   0.08577*********   0.3174   0.4873
   2.000  59.2279   0.49882   0.10602*********   0.2461   0.5034
   2.500  64.7310   0.54076   0.12767*********   0.1830   0.5158
   3.000  70.2039   0.58454   0.15126*********   0.1248   0.5233
   3.500  75.8082   0.61311   0.17064*********   0.0956   0.5373
   4.000  81.3206   0.64935   0.19445*********   0.0633   0.5462
   4.500  86.8094   0.68498   0.22029*********   0.0406   0.5551
   5.000  92.3298   0.71585   0.24492*********   0.0279   0.5639
   5.500  97.8773   0.74193   0.26799*********   0.0224   0.5726
   6.000 103.4095   0.76685   0.29168*********   0.0200   0.5850
   6.500 108.8932   0.79394   0.31685*********   0.0175   0.5932
   7.000 114.2894   0.82496   0.34611*********   0.0143   0.6053
   7.500 119.5842   0.86117   0.37975*********   0.0110   0.6156
   8.000 124.8149   0.89871   0.41541*********   0.0088   0.6241
   8.500 129.9976   0.93571   0.45230*********   0.0074   0.6383
   9.000 135.1208   0.97268   0.48938*********   0.0070   0.6503
   9.500 140.0897   1.01522   0.53161*********   0.0065   0.6611
  10.000 144.9702   1.05815   0.57539*********   0.0062   0.6750
  10.500 149.7148   1.10339   0.62242*********   0.0059   0.6901
  11.000 154.2813   1.15161   0.67229*********   0.0058   0.7029
  11.500 158.5979   1.20463   0.72751*********   0.0057   0.7146
  12.000 162.2480   1.25696   0.78258*********   0.0056   0.7272
  12.500 165.0894   1.31518   0.84457*********   0.0056   0.7433
  13.000 167.9938   1.38584   0.91902*********   0.0056   0.7594
  13.500 170.9225   1.46731   1.00474*********   0.0055   0.7774
  14.000 173.7290   1.56436   1.10824*********   0.0055   0.8033
  14.500 176.4757   1.67614   1.22596*********   0.0055   0.8274
  15.000 179.1488   1.80076   1.35926*********   0.0055   0.8655
  15.500 181.3224   1.92864   1.51394*********   0.0055   1.0000
  16.000 183.6525   2.10094   1.68936*********   0.0055   1.0000
  16.500 185.9744   2.28684   1.87828*********   0.0054   1.0000
  17.000 188.0273   2.50183   2.09723*********   0.0054   1.0000
  17.500 189.9867   2.73682   2.33618*********   0.0053   1.0000
  18.000 191.8638   2.99415   2.59742*********   0.0052   1.0000
