  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 6-H-20 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.500  -0.5033   0.08004   0.07528  -0.0049   0.6459   0.0866
  -4.000  -0.4897   0.07574   0.07048   0.0019   0.6418   0.0937
  -3.000  -0.4090   0.07209   0.06624   0.0071   0.6385   0.1123
  -1.500  -0.3192   0.06339   0.05492   0.0229   0.6220   0.0676
  -1.000  -0.2277   0.06387   0.05518   0.0164   0.6211   0.0669
  -0.500  -0.2566   0.06213   0.05335   0.0258   0.6071   0.0668
   0.500  -0.1754   0.06336   0.05445   0.0253   0.5930   0.0682
   1.000  -0.0988   0.06431   0.05558   0.0212   0.5897   0.0731
   1.500  -0.1031   0.06515   0.05643   0.0272   0.5787   0.0751
   2.000  -0.0495   0.06537   0.05670   0.0286   0.5738   0.0810
   2.500  -0.0505   0.06594   0.05729   0.0353   0.5616   0.0867
   3.000  -0.0224   0.06245   0.05514   0.0477   0.5566   0.4452
   3.500   0.0477   0.06711   0.06107   0.0498   0.5416   0.9193
   5.500   0.6830   0.08199   0.07585  -0.0487   0.4999   1.0000
   6.500   0.7431   0.08306   0.07691  -0.0438   0.4849   1.0000
   7.000   0.7917   0.08216   0.07601  -0.0425   0.4827   1.0000
   8.000   0.8195   0.08542   0.07936  -0.0359   0.4592   1.0000
   8.500   0.8640   0.08419   0.07815  -0.0342   0.4548   1.0000
   9.000   0.9154   0.08221   0.07620  -0.0328   0.4528   1.0000
  10.000   0.9365   0.08660   0.08074  -0.0266   0.4283   1.0000
  10.500   0.9817   0.08493   0.07915  -0.0249   0.4244   1.0000
  11.000   1.0317   0.08271   0.07700  -0.0234   0.4225   1.0000
  11.500   1.0835   0.08019   0.07457  -0.0220   0.4213   1.0000
  13.000   0.9923   0.07952   0.07386   0.0195   0.3917   0.9799
  13.500   1.0490   0.07544   0.06985   0.0215   0.3902   0.9786
  14.500   1.1159   0.07155   0.06607   0.0287   0.3735   0.9767
  15.000   1.1215   0.07249   0.06707   0.0335   0.3587   0.9763
  15.500   1.1325   0.07328   0.06792   0.0375   0.3448   0.9764
  16.000   1.1640   0.07270   0.06737   0.0396   0.3331   0.9773
  16.500   1.1969   0.07213   0.06679   0.0415   0.3198   0.9786
  17.000   1.2031   0.07420   0.06890   0.0444   0.3033   0.9796
  17.500   1.2014   0.07762   0.07239   0.0467   0.2861   0.9808
  18.000   1.1970   0.08311   0.07801   0.0467   0.2649   0.9815
