  
       XFOIL         Version 6.96
  
 Calculated polar for: N-9                                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2371   0.01738   0.00996  -0.0422   0.9981   0.0616
  -4.500  -0.1541   0.01581   0.00817  -0.0477   0.9892   0.0747
  -4.000  -0.0712   0.01435   0.00667  -0.0533   0.9784   0.0896
  -3.500   0.0142   0.01251   0.00506  -0.0595   0.9657   0.1390
  -3.000   0.0963   0.01090   0.00435  -0.0652   0.9494   0.3446
  -2.500   0.1834   0.00876   0.00406  -0.0698   0.9352   1.0000
  -2.000   0.2583   0.00852   0.00351  -0.0730   0.9102   1.0000
  -1.500   0.3148   0.00859   0.00334  -0.0725   0.8792   1.0000
  -1.000   0.3662   0.00870   0.00325  -0.0710   0.8468   1.0000
  -0.500   0.4178   0.00877   0.00316  -0.0696   0.8149   1.0000
   0.000   0.4694   0.00883   0.00301  -0.0680   0.7784   1.0000
   0.500   0.5212   0.00902   0.00296  -0.0665   0.7395   1.0000
   1.000   0.5727   0.00936   0.00311  -0.0652   0.6999   1.0000
   1.500   0.6243   0.00973   0.00333  -0.0640   0.6615   1.0000
   2.000   0.6747   0.01006   0.00355  -0.0626   0.6100   1.0000
   2.500   0.7242   0.01045   0.00377  -0.0611   0.5439   1.0000
   3.000   0.7722   0.01108   0.00410  -0.0595   0.4640   1.0000
   3.500   0.8195   0.01194   0.00467  -0.0581   0.4000   1.0000
   4.000   0.8678   0.01278   0.00536  -0.0569   0.3482   1.0000
   4.500   0.9137   0.01380   0.00614  -0.0555   0.2617   1.0000
   5.000   0.9545   0.01559   0.00732  -0.0535   0.1602   1.0000
   5.500   0.9976   0.01715   0.00883  -0.0517   0.1390   1.0000
   6.000   1.0407   0.01882   0.01054  -0.0500   0.1264   1.0000
   6.500   1.0829   0.02052   0.01228  -0.0485   0.1094   1.0000
   7.000   1.1257   0.02201   0.01395  -0.0470   0.0950   1.0000
   7.500   1.1666   0.02323   0.01534  -0.0455   0.0783   1.0000
   8.000   1.2077   0.02407   0.01623  -0.0438   0.0422   1.0000
   8.500   1.2340   0.02698   0.01936  -0.0399   0.0314   1.0000
   9.000   1.2527   0.03039   0.02288  -0.0356   0.0260   1.0000
   9.500   1.2710   0.03389   0.02676  -0.0309   0.0240   1.0000
  10.000   1.2848   0.03807   0.03134  -0.0265   0.0224   1.0000
  10.500   1.2913   0.04239   0.03600  -0.0225   0.0207   1.0000
  11.000   1.2872   0.04830   0.04225  -0.0191   0.0195   1.0000
  11.500   1.2676   0.05641   0.05094  -0.0168   0.0191   1.0000
  12.000   1.2394   0.06582   0.06087  -0.0174   0.0190   1.0000
  12.500   1.2073   0.07677   0.07228  -0.0210   0.0191   1.0000
  13.000   1.1729   0.08955   0.08548  -0.0275   0.0192   1.0000
  13.500   1.1313   0.10624   0.10256  -0.0380   0.0196   1.0000
  14.000   0.9688   0.16607   0.16274  -0.0708   0.0270   1.0000
  14.500   0.7176   0.15763   0.15445  -0.0479   0.0322   1.0000
  15.500   0.7061   0.18240   0.17922  -0.0534   0.0526   1.0000
  16.000   0.6886   0.18891   0.18571  -0.0595   0.0510   1.0000
  16.500   0.6892   0.19521   0.19202  -0.0626   0.0465   1.0000
  17.000   0.7092   0.20049   0.19735  -0.0621   0.0429   1.0000
  17.500   0.7141   0.20915   0.20600  -0.0642   0.0420   1.0000
  18.000   0.7020   0.21446   0.21129  -0.0699   0.0397   1.0000
