  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 0010-34                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.6086   0.02223   0.01432   0.0111   1.0000   0.0271
  -4.500  -0.5640   0.01913   0.01086   0.0142   1.0000   0.0286
  -4.000  -0.5264   0.01654   0.00818   0.0179   1.0000   0.0326
  -3.500  -0.4893   0.01473   0.00627   0.0212   1.0000   0.0466
  -3.000  -0.4695   0.01021   0.00506   0.0274   1.0000   0.7177
  -2.500  -0.4383   0.01068   0.00593   0.0352   1.0000   0.8810
  -2.000  -0.3886   0.01160   0.00665   0.0382   1.0000   0.9362
  -1.500  -0.3046   0.01225   0.00700   0.0322   1.0000   0.9582
  -1.000  -0.2091   0.01272   0.00723   0.0229   1.0000   0.9723
  -0.500  -0.1067   0.01300   0.00735   0.0119   0.9963   0.9823
   0.000   0.0000   0.01308   0.00739   0.0000   0.9897   0.9897
   0.500   0.1068   0.01300   0.00735  -0.0119   0.9823   0.9964
   1.000   0.2091   0.01272   0.00722  -0.0229   0.9723   1.0000
   1.500   0.3046   0.01225   0.00700  -0.0322   0.9582   1.0000
   2.000   0.3885   0.01160   0.00664  -0.0382   0.9362   1.0000
   2.500   0.4382   0.01068   0.00593  -0.0352   0.8811   1.0000
   3.000   0.4694   0.01021   0.00506  -0.0274   0.7186   1.0000
   3.500   0.4892   0.01473   0.00626  -0.0212   0.0466   1.0000
   4.000   0.5264   0.01654   0.00817  -0.0178   0.0326   1.0000
