  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 0021                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5285   0.01665   0.00947  -0.0128   0.9107   0.4122
  -4.500  -0.4707   0.01599   0.00891  -0.0126   0.8922   0.4360
  -4.000  -0.4154   0.01539   0.00841  -0.0118   0.8720   0.4598
  -3.500  -0.3619   0.01488   0.00795  -0.0106   0.8500   0.4838
  -3.000  -0.3092   0.01446   0.00754  -0.0092   0.8266   0.5083
  -2.500  -0.2578   0.01415   0.00722  -0.0076   0.8010   0.5333
  -2.000  -0.2076   0.01391   0.00698  -0.0058   0.7733   0.5588
  -1.500  -0.1561   0.01371   0.00677  -0.0043   0.7458   0.5844
  -1.000  -0.1033   0.01355   0.00662  -0.0029   0.7188   0.6100
  -0.500  -0.0508   0.01349   0.00654  -0.0016   0.6919   0.6365
   0.000   0.0000   0.01346   0.00654   0.0000   0.6638   0.6638
   0.500   0.0508   0.01349   0.00654   0.0016   0.6365   0.6919
   1.000   0.1033   0.01355   0.00662   0.0029   0.6100   0.7188
   1.500   0.1561   0.01371   0.00677   0.0043   0.5844   0.7458
   2.000   0.2076   0.01391   0.00697   0.0058   0.5588   0.7733
   2.500   0.2579   0.01415   0.00722   0.0075   0.5333   0.8009
   3.000   0.3092   0.01446   0.00754   0.0092   0.5083   0.8266
   3.500   0.3620   0.01488   0.00795   0.0106   0.4838   0.8500
   4.000   0.4154   0.01539   0.00841   0.0118   0.4598   0.8720
   4.500   0.4707   0.01599   0.00891   0.0126   0.4360   0.8922
   5.000   0.5286   0.01665   0.00947   0.0128   0.4121   0.9108
   5.500   0.5891   0.01731   0.01010   0.0122   0.3877   0.9281
   6.000   0.6728   0.01812   0.01085   0.0067   0.3606   0.9363
   6.500   0.7452   0.01886   0.01146   0.0031   0.3362   0.9495
   7.000   0.8154   0.01966   0.01214  -0.0002   0.3129   0.9633
   7.500   0.8934   0.02042   0.01289  -0.0054   0.2889   0.9743
   8.000   0.9686   0.02118   0.01360  -0.0102   0.2664   0.9853
   8.500   1.0416   0.02202   0.01435  -0.0149   0.2456   0.9959
   9.000   1.0770   0.02275   0.01505  -0.0126   0.2300   1.0000
   9.500   1.0773   0.02339   0.01569  -0.0036   0.2191   1.0000
  10.000   1.0644   0.02401   0.01619   0.0077   0.2102   1.0000
  10.500   1.0516   0.02463   0.01691   0.0189   0.2012   1.0000
  11.000   1.0533   0.02568   0.01790   0.0269   0.1918   1.0000
  11.500   1.0599   0.02692   0.01911   0.0336   0.1823   1.0000
  12.000   1.0719   0.02850   0.02076   0.0387   0.1726   1.0000
  12.500   1.0887   0.03037   0.02259   0.0424   0.1638   1.0000
  13.000   1.1052   0.03243   0.02465   0.0455   0.1553   1.0000
  13.500   1.1199   0.03492   0.02725   0.0481   0.1472   1.0000
  14.000   1.1383   0.03745   0.02975   0.0501   0.1401   1.0000
  14.500   1.1496   0.04053   0.03295   0.0518   0.1333   1.0000
  15.000   1.1631   0.04378   0.03628   0.0531   0.1272   1.0000
  15.500   1.1751   0.04720   0.03973   0.0539   0.1214   1.0000
  16.000   1.1820   0.05139   0.04408   0.0544   0.1162   1.0000
  16.500   1.1944   0.05514   0.04785   0.0546   0.1113   1.0000
  17.000   1.1954   0.06034   0.05324   0.0543   0.1069   1.0000
  17.500   1.2021   0.06501   0.05799   0.0536   0.1026   1.0000
  18.000   1.2024   0.07064   0.06377   0.0526   0.0988   1.0000
