  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA-1 COWL                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
  -4.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
  -4.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
  -3.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
  -3.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
  -2.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
  -2.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
  -1.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
  -1.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
  -0.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
   0.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
   0.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
   1.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
   1.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
   2.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
   2.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
   3.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
   3.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
   4.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
   4.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
   5.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
   5.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
   6.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
   6.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
   7.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
   7.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
   8.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
   8.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
   9.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
   9.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
  10.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
  10.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
  11.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
  11.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
  12.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
  12.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
  13.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
  13.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
  14.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
  14.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
  15.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
  15.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
  16.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
  16.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
  17.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
  17.500 NaN      NaN       NaN       NaN       -0.0432   2.0432
  18.000 NaN      NaN       NaN       NaN       -0.0432   2.0432
