  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 65(4)-221                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3507   0.02330   0.01731  -0.0346   0.7545   0.6278
  -4.500  -0.2558   0.02582   0.01976  -0.0379   0.7496   0.6321
  -4.000  -0.2289   0.02498   0.01875  -0.0348   0.7438   0.6461
  -3.500  -0.1660   0.02575   0.01951  -0.0356   0.7365   0.6497
  -3.000  -0.1458   0.02415   0.01771  -0.0324   0.7303   0.6634
  -2.500  -0.0854   0.02455   0.01804  -0.0329   0.7261   0.6668
  -2.000  -0.0462   0.02460   0.01812  -0.0315   0.7185   0.6735
  -1.500  -0.0118   0.02347   0.01684  -0.0302   0.7127   0.6827
  -1.000   0.0453   0.02349   0.01680  -0.0306   0.7091   0.6865
  -0.500   0.0762   0.02386   0.01724  -0.0285   0.7011   0.6930
   0.000   0.1196   0.02332   0.01659  -0.0283   0.6954   0.7007
   0.500   0.1753   0.02330   0.01657  -0.0286   0.6919   0.7044
   1.000   0.1985   0.02449   0.01788  -0.0252   0.6827   0.7105
   1.500   0.2439   0.02446   0.01778  -0.0254   0.6771   0.7181
   2.000   0.3028   0.02434   0.01771  -0.0262   0.6740   0.7219
   3.500   0.4075   0.02683   0.02041  -0.0205   0.6518   0.7404
