  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 66-209                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.500  -0.4121   0.02773   0.02057  -0.0309   0.9719   0.0538
  -3.500  -0.2852   0.01841   0.01030  -0.0331   0.9648   0.0471
  -3.000  -0.2362   0.01714   0.00892  -0.0321   0.9576   0.0533
  -2.500  -0.1752   0.01549   0.00729  -0.0339   0.9531   0.0638
  -2.000  -0.1398   0.01254   0.00636  -0.0319   0.9457   0.5443
  -1.500  -0.1173   0.01319   0.00804  -0.0207   0.9387   0.8839
  -1.000  -0.0945   0.01389   0.00869  -0.0115   0.9295   0.9368
  -0.500   0.0315   0.01463   0.00921  -0.0247   0.9324   0.9656
   0.000   0.1216   0.01465   0.00913  -0.0328   0.9289   0.9703
   0.500   0.2076   0.01461   0.00908  -0.0400   0.9254   0.9737
   1.000   0.2753   0.01465   0.00917  -0.0438   0.9169   0.9799
   1.500   0.3631   0.01446   0.00913  -0.0510   0.9121   0.9823
   2.000   0.4571   0.01249   0.00732  -0.0554   0.8830   0.9810
   2.500   0.5116   0.01084   0.00573  -0.0520   0.8305   0.9871
   3.000   0.5465   0.01104   0.00430  -0.0450   0.4185   0.9961
   3.500   0.5631   0.01445   0.00589  -0.0397   0.0607   1.0000
   4.000   0.5869   0.01555   0.00708  -0.0341   0.0510   1.0000
   4.500   0.6054   0.01746   0.00900  -0.0275   0.0470   1.0000
   5.000   0.6354   0.01893   0.01063  -0.0228   0.0428   1.0000
   5.500   0.6811   0.02168   0.01358  -0.0206   0.0412   1.0000
   6.000   0.7341   0.02651   0.01896  -0.0191   0.0444   1.0000
