  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 66(3)-418                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3996   0.02950   0.02098  -0.0482   0.8334   0.0687
  -4.500  -0.3651   0.02871   0.02019  -0.0455   0.8308   0.0794
  -4.000  -0.3353   0.02737   0.01942  -0.0426   0.8291   0.1708
  -3.500  -0.3865   0.02637   0.01971  -0.0272   0.8235   0.4209
  -3.000  -0.3758   0.02730   0.02186  -0.0183   0.8201   0.7148
  -2.500  -0.3381   0.02920   0.02368  -0.0137   0.8164   0.7508
  -2.000  -0.2765   0.03206   0.02654  -0.0098   0.8122   0.7862
  -1.500  -0.2958   0.03372   0.02825   0.0044   0.8027   0.8135
  -1.000  -0.2490   0.03580   0.03028   0.0105   0.7971   0.8395
   0.000  -0.1628   0.03569   0.02993   0.0129   0.7800   0.8538
   1.000  -0.0618   0.03542   0.02943   0.0109   0.7628   0.8629
   2.000   0.0434   0.03531   0.02923   0.0096   0.7456   0.8675
   3.000   0.1324   0.03558   0.02949   0.0098   0.7221   0.8732
   3.500   0.1985   0.03535   0.02927   0.0069   0.7145   0.8753
   4.000   0.2781   0.03489   0.02884   0.0024   0.7107   0.8771
   4.500   0.3241   0.03486   0.02887   0.0024   0.6972   0.8803
   5.500   0.4487   0.03357   0.02780  -0.0003   0.6802   0.8858
   6.500   0.5828   0.03131   0.02585  -0.0039   0.6623   0.8925
   7.500   0.7388   0.02421   0.01912  -0.0063   0.6324   0.8997
   8.000   0.7523   0.02484   0.01991  -0.0009   0.5934   0.9078
   8.500   0.8617   0.02022   0.01484  -0.0052   0.4907   0.9109
   9.000   0.8477   0.02255   0.01640   0.0040   0.3605   0.9198
   9.500   0.8188   0.02646   0.01949   0.0131   0.2233   0.9309
  10.000   0.7959   0.03096   0.02300   0.0203   0.0868   0.9430
  10.500   0.8077   0.03389   0.02584   0.0233   0.0623   0.9565
  11.000   0.8340   0.03682   0.02881   0.0234   0.0519   0.9723
  11.500   0.8645   0.03959   0.03164   0.0228   0.0458   1.0000
  12.000   0.9018   0.04197   0.03395   0.0226   0.0419   1.0000
  12.500   0.9505   0.04389   0.03597   0.0217   0.0388   1.0000
  13.000   1.0141   0.04577   0.03778   0.0198   0.0359   1.0000
  13.500   1.0647   0.04873   0.04112   0.0188   0.0345   1.0000
  14.000   1.1081   0.05274   0.04555   0.0181   0.0339   1.0000
  14.500   1.1330   0.05818   0.05150   0.0186   0.0339   1.0000
  15.000   1.1339   0.06501   0.05888   0.0203   0.0343   1.0000
  15.500   1.1219   0.07275   0.06710   0.0217   0.0350   1.0000
  16.000   1.1050   0.08149   0.07624   0.0221   0.0358   1.0000
  16.500   1.0926   0.08991   0.08501   0.0217   0.0367   1.0000
  17.000   0.5890   0.13579   0.13291   0.0070   0.0585   1.0000
  17.500   0.5143   0.16041   0.15751  -0.0069   0.0734   1.0000
  18.000   0.5299   0.16620   0.16334  -0.0112   0.0693   1.0000
