  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 67,1-215                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.7847   0.02644   0.01764   0.0328   0.9980   0.0569
  -4.500  -0.7286   0.02613   0.01723   0.0317   0.9935   0.0647
  -4.000  -0.6774   0.02526   0.01644   0.0314   0.9871   0.0749
  -3.500  -0.6300   0.02466   0.01589   0.0318   0.9799   0.0864
  -3.000  -0.5772   0.02465   0.01598   0.0312   0.9739   0.1099
  -2.500  -0.5646   0.02118   0.01501   0.0376   0.9638   0.5471
  -2.000  -0.5362   0.02314   0.01801   0.0467   0.9520   0.8376
  -1.000  -0.1177   0.03348   0.02786  -0.0041   0.9129   0.9269
  -0.500  -0.0215   0.03374   0.02800  -0.0134   0.9072   0.9335
   0.000   0.0231   0.03356   0.02777  -0.0127   0.8955   0.9425
   0.500   0.1102   0.03375   0.02792  -0.0201   0.8904   0.9471
   1.000   0.1456   0.03344   0.02761  -0.0176   0.8769   0.9538
   2.000   0.2519   0.03304   0.02728  -0.0190   0.8525   0.9620
   2.500   0.3272   0.03259   0.02691  -0.0234   0.8444   0.9645
   3.000   0.3992   0.03158   0.02601  -0.0267   0.8298   0.9662
   3.500   0.5088   0.02906   0.02366  -0.0354   0.8143   0.9673
   4.000   0.7599   0.02097   0.01594  -0.0673   0.7970   0.9680
   4.500   0.7442   0.02041   0.01550  -0.0526   0.7671   0.9700
   5.000   0.8108   0.01815   0.01183  -0.0513   0.4691   0.9710
   5.500   0.7549   0.01945   0.01258  -0.0300   0.3641   0.9738
   6.000   0.7197   0.02151   0.01366  -0.0147   0.1930   0.9767
   6.500   0.7200   0.02337   0.01490  -0.0062   0.1052   0.9798
   7.000   0.7292   0.02461   0.01605   0.0010   0.0869   0.9821
   7.500   0.7497   0.02578   0.01720   0.0061   0.0759   0.9850
   8.000   0.7839   0.02685   0.01831   0.0085   0.0659   0.9868
   8.500   0.8222   0.02823   0.01974   0.0103   0.0571   0.9887
   9.000   0.8688   0.02995   0.02151   0.0109   0.0493   0.9905
   9.500   0.9380   0.03267   0.02428   0.0078   0.0435   0.9916
  10.000   0.9940   0.03561   0.02766   0.0072   0.0402   0.9933
  10.500   1.0445   0.03920   0.03161   0.0067   0.0383   0.9948
  11.000   1.0897   0.04562   0.03844   0.0057   0.0364   0.9963
  11.500   1.0920   0.05056   0.04398   0.0119   0.0364   1.0000
  12.500   1.0242   0.05575   0.04984   0.0366   0.0368   1.0000
  13.000   0.9673   0.05716   0.05157   0.0515   0.0373   1.0000
  13.500   0.8462   0.06801   0.06343   0.0646   0.0412   1.0000
  14.000   0.7956   0.07780   0.07355   0.0656   0.0426   1.0000
  14.500   0.4347   0.12390   0.12048   0.0431   0.0787   1.0000
  15.000   0.5809   0.14152   0.13773   0.0320   0.0678   1.0000
  15.500   0.5999   0.14695   0.14317   0.0310   0.0650   1.0000
  16.000   0.6167   0.15489   0.15112   0.0302   0.0634   1.0000
  16.500   0.5907   0.16778   0.16391   0.0186   0.0580   1.0000
  17.000   0.6074   0.17397   0.17010   0.0161   0.0552   1.0000
  17.500   0.6381   0.18023   0.17640   0.0171   0.0532   1.0000
  18.000   0.6185   0.19026   0.18634   0.0062   0.0497   1.0000
