  
       XFOIL         Version 6.96
  
 Calculated polar for: NLR-7223-43 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4968   0.03742   0.03213  -0.0233   1.0000   0.0719
  -4.500  -0.4630   0.03309   0.02747  -0.0215   1.0000   0.0864
  -4.000  -0.4248   0.02901   0.02321  -0.0201   1.0000   0.1037
  -3.500  -0.3557   0.02118   0.01352  -0.0154   1.0000   0.0365
  -3.000  -0.3068   0.01839   0.01043  -0.0136   1.0000   0.0366
  -2.500  -0.2602   0.01627   0.00834  -0.0119   1.0000   0.0395
  -2.000  -0.2140   0.01496   0.00702  -0.0102   1.0000   0.0435
  -1.500  -0.1597   0.01383   0.00592  -0.0104   0.9980   0.0644
  -1.000  -0.1102   0.01242   0.00717  -0.0078   0.9880   0.7929
  -0.500  -0.0586   0.01248   0.00750  -0.0037   0.9715   0.8825
   0.000   0.0557   0.01194   0.00677  -0.0141   0.9409   0.8921
   0.500   0.1441   0.01149   0.00622  -0.0204   0.9246   0.8930
   1.000   0.2330   0.01097   0.00568  -0.0266   0.9097   0.8935
   1.500   0.3139   0.01037   0.00511  -0.0308   0.8892   0.8948
   2.000   0.3829   0.00983   0.00460  -0.0323   0.8555   0.8965
   2.500   0.4406   0.00942   0.00416  -0.0315   0.7865   0.8991
   3.000   0.4819   0.01036   0.00377  -0.0272   0.4885   0.9038
   3.500   0.5181   0.01201   0.00437  -0.0241   0.2984   0.9100
   4.000   0.5674   0.01292   0.00501  -0.0233   0.2534   0.9170
   5.000   0.6791   0.01462   0.00662  -0.0243   0.2124   0.9438
   5.500   0.7475   0.01552   0.00762  -0.0275   0.1950   0.9929
   6.000   0.8008   0.01639   0.00859  -0.0278   0.1774   1.0000
   6.500   0.8510   0.01709   0.00926  -0.0277   0.1533   1.0000
   7.000   0.9013   0.01743   0.00984  -0.0273   0.1287   1.0000
   7.500   0.9513   0.01781   0.01026  -0.0267   0.0825   1.0000
   8.000   0.9900   0.02041   0.01268  -0.0243   0.0494   1.0000
   8.500   1.0288   0.02297   0.01537  -0.0220   0.0406   1.0000
   9.000   1.0663   0.02619   0.01868  -0.0197   0.0358   1.0000
   9.500   1.1054   0.02950   0.02239  -0.0174   0.0332   1.0000
  10.000   1.1389   0.03341   0.02670  -0.0148   0.0314   1.0000
  10.500   1.1622   0.03916   0.03282  -0.0119   0.0295   1.0000
  11.000   1.1653   0.04483   0.03922  -0.0067   0.0290   1.0000
  11.500   1.1476   0.05086   0.04587  -0.0002   0.0290   1.0000
  12.000   1.1138   0.05785   0.05335   0.0049   0.0291   1.0000
  12.500   1.0746   0.06736   0.06323   0.0050   0.0294   1.0000
  13.000   1.0335   0.07844   0.07471  -0.0013   0.0296   1.0000
  13.500   0.6944   0.13589   0.13288  -0.0370   0.0457   1.0000
  14.000   0.6742   0.15339   0.15041  -0.0440   0.0658   1.0000
  14.500   0.6663   0.16233   0.15934  -0.0494   0.0645   1.0000
  15.000   0.6541   0.16868   0.16569  -0.0561   0.0587   1.0000
  15.500   0.6754   0.17439   0.17145  -0.0568   0.0554   1.0000
  16.000   0.6829   0.18313   0.18019  -0.0601   0.0542   1.0000
  16.500   0.6726   0.18909   0.18616  -0.0671   0.0503   1.0000
  17.000   0.6832   0.19530   0.19240  -0.0701   0.0471   1.0000
  17.500   0.7143   0.20512   0.20228  -0.0691   0.0450   1.0000
  18.000   0.6982   0.20960   0.20675  -0.0773   0.0435   1.0000
