  
       XFOIL         Version 6.96
  
 Calculated polar for: NLR-1T AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5547   0.03996   0.03495  -0.0038   1.0000   0.0683
  -4.500  -0.5266   0.03566   0.03009   0.0002   1.0000   0.0806
  -4.000  -0.4925   0.03170   0.02583   0.0030   1.0000   0.0958
  -3.500  -0.4552   0.02856   0.02234   0.0055   1.0000   0.1234
  -2.500  -0.3297   0.01857   0.01033   0.0114   1.0000   0.0407
  -2.000  -0.2796   0.01685   0.00852   0.0129   1.0000   0.0407
  -1.500  -0.2312   0.01560   0.00731   0.0142   1.0000   0.0442
  -1.000  -0.1547   0.01490   0.00655   0.0098   0.9935   0.0636
   0.000   0.1935   0.01179   0.00631  -0.0384   0.9626   1.0000
   0.500   0.2963   0.01127   0.00576  -0.0479   0.9480   1.0000
   1.000   0.3634   0.01089   0.00539  -0.0494   0.9271   1.0000
   1.500   0.4145   0.01051   0.00503  -0.0470   0.9003   1.0000
   2.000   0.4564   0.01011   0.00465  -0.0425   0.8641   1.0000
   2.500   0.4965   0.00963   0.00416  -0.0376   0.7911   1.0000
   3.000   0.5265   0.01110   0.00371  -0.0309   0.4028   1.0000
   3.500   0.5670   0.01257   0.00440  -0.0285   0.2815   1.0000
   4.000   0.6126   0.01344   0.00507  -0.0267   0.2483   1.0000
   4.500   0.6584   0.01427   0.00574  -0.0251   0.2257   1.0000
   5.000   0.7049   0.01492   0.00642  -0.0234   0.2050   1.0000
   5.500   0.7509   0.01564   0.00716  -0.0218   0.1883   1.0000
   6.000   0.7956   0.01639   0.00790  -0.0200   0.1688   1.0000
   6.500   0.8400   0.01690   0.00860  -0.0180   0.1434   1.0000
   7.000   0.8824   0.01765   0.00933  -0.0156   0.1012   1.0000
   7.500   0.9225   0.01903   0.01071  -0.0128   0.0811   1.0000
   8.000   0.9608   0.02096   0.01271  -0.0098   0.0728   1.0000
   8.500   1.0011   0.02287   0.01482  -0.0072   0.0675   1.0000
   9.000   1.0411   0.02610   0.01820  -0.0050   0.0629   1.0000
   9.500   1.0769   0.02771   0.02026  -0.0018   0.0578   1.0000
  10.000   1.1076   0.03045   0.02317   0.0013   0.0510   1.0000
  10.500   1.1346   0.03177   0.02495   0.0054   0.0451   1.0000
  11.000   1.1519   0.03520   0.02873   0.0100   0.0392   1.0000
  11.500   1.1619   0.03745   0.03118   0.0155   0.0310   1.0000
  12.000   1.1511   0.04083   0.03514   0.0234   0.0259   1.0000
  12.500   1.1474   0.04420   0.03864   0.0282   0.0229   1.0000
  13.000   0.8217   0.11682   0.11315  -0.0043   0.0560   1.0000
  13.500   0.8009   0.13076   0.12702  -0.0105   0.0547   1.0000
  14.000   0.7859   0.14429   0.14053  -0.0163   0.0542   1.0000
  14.500   0.7763   0.15739   0.15361  -0.0217   0.0540   1.0000
  15.000   0.7811   0.16460   0.16081  -0.0250   0.0429   1.0000
