  
       XFOIL         Version 6.96
  
 Calculated polar for: ONERA OA209 AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4421   0.02729   0.02221  -0.0136   1.0000   0.0700
  -4.500  -0.4153   0.03298   0.02746  -0.0151   1.0000   0.0801
  -4.000  -0.3807   0.02907   0.02322  -0.0126   1.0000   0.0935
  -3.500  -0.3429   0.02577   0.01958  -0.0108   1.0000   0.1200
  -3.000  -0.2736   0.01930   0.01154  -0.0066   0.9992   0.0469
  -2.500  -0.1866   0.01604   0.00818  -0.0123   0.9906   0.0493
  -2.000  -0.0962   0.01408   0.00629  -0.0191   0.9806   0.0599
  -1.500  -0.0081   0.01255   0.00491  -0.0256   0.9665   0.0943
  -1.000   0.0109   0.01033   0.00571  -0.0150   0.9454   0.9022
  -0.500   0.0629   0.01060   0.00586  -0.0096   0.9257   0.9735
   0.000   0.1758   0.01041   0.00549  -0.0197   0.9042   1.0000
   0.500   0.2105   0.00996   0.00493  -0.0148   0.8704   1.0000
   1.000   0.2473   0.00946   0.00432  -0.0102   0.8301   1.0000
   1.500   0.2861   0.00908   0.00374  -0.0058   0.7694   1.0000
   2.000   0.3280   0.00915   0.00325  -0.0021   0.6402   1.0000
   2.500   0.3760   0.01016   0.00324  -0.0009   0.4585   1.0000
   3.000   0.4251   0.01099   0.00357  -0.0003   0.3929   1.0000
   3.500   0.4763   0.01166   0.00400   0.0000   0.3538   1.0000
   4.000   0.5301   0.01235   0.00451  -0.0001   0.3230   1.0000
   4.500   0.5851   0.01307   0.00508  -0.0004   0.2959   1.0000
   5.000   0.6414   0.01367   0.00568  -0.0010   0.2700   1.0000
   5.500   0.6972   0.01444   0.00638  -0.0015   0.2470   1.0000
   6.000   0.7532   0.01514   0.00711  -0.0020   0.2241   1.0000
   6.500   0.8083   0.01600   0.00792  -0.0024   0.2028   1.0000
   7.000   0.8634   0.01667   0.00872  -0.0029   0.1800   1.0000
   7.500   0.9169   0.01759   0.00962  -0.0033   0.1589   1.0000
   8.000   0.9701   0.01841   0.01062  -0.0035   0.1367   1.0000
   8.500   1.0212   0.01954   0.01184  -0.0036   0.1131   1.0000
   9.000   1.0694   0.02110   0.01344  -0.0034   0.0885   1.0000
   9.500   1.1140   0.02315   0.01553  -0.0028   0.0707   1.0000
  10.000   1.1555   0.02557   0.01806  -0.0019   0.0598   1.0000
  10.500   1.1946   0.02840   0.02118  -0.0005   0.0532   1.0000
  11.000   1.2286   0.03193   0.02486   0.0009   0.0483   1.0000
  11.500   1.2589   0.03529   0.02867   0.0028   0.0448   1.0000
  12.000   1.2837   0.03909   0.03272   0.0048   0.0422   1.0000
  12.500   1.2881   0.04494   0.03902   0.0078   0.0403   1.0000
  13.000   1.2727   0.05054   0.04519   0.0108   0.0393   1.0000
  13.500   1.2457   0.05870   0.05390   0.0103   0.0387   1.0000
  14.000   1.2043   0.07089   0.06659   0.0043   0.0386   1.0000
  14.500   1.1432   0.08996   0.08614  -0.0094   0.0392   1.0000
  15.000   1.0393   0.12213   0.11868  -0.0313   0.0414   1.0000
  15.500   0.6214   0.16567   0.16225  -0.0367   0.0746   1.0000
  16.000   0.6322   0.17070   0.16733  -0.0381   0.0710   1.0000
  16.500   0.6569   0.17842   0.17510  -0.0376   0.0688   1.0000
  17.000   0.6320   0.18338   0.18005  -0.0446   0.0638   1.0000
  17.500   0.6432   0.18849   0.18520  -0.0462   0.0604   1.0000
  18.000   0.6691   0.19702   0.19378  -0.0456   0.0585   1.0000
