  
       XFOIL         Version 6.96
  
 Calculated polar for: OAF102 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1041   0.01340   0.00652  -0.1213   0.9733   0.1780
  -4.500  -0.0286   0.01297   0.00604  -0.1257   0.9594   0.2316
  -4.000   0.0362   0.01280   0.00586  -0.1274   0.9419   0.2734
  -3.500   0.0921   0.01278   0.00580  -0.1271   0.9210   0.3087
  -3.000   0.1462   0.01276   0.00577  -0.1263   0.9018   0.3407
  -2.500   0.2001   0.01273   0.00571  -0.1253   0.8838   0.3721
  -2.000   0.2552   0.01271   0.00567  -0.1247   0.8675   0.4040
  -1.500   0.3113   0.01270   0.00567  -0.1244   0.8520   0.4361
  -1.000   0.3681   0.01270   0.00571  -0.1243   0.8374   0.4687
  -0.500   0.4252   0.01270   0.00575  -0.1243   0.8229   0.5006
   0.000   0.4827   0.01269   0.00583  -0.1244   0.8088   0.5319
   0.500   0.5399   0.01268   0.00594  -0.1244   0.7944   0.5672
   1.000   0.5969   0.01264   0.00609  -0.1244   0.7799   0.6077
   1.500   0.6535   0.01255   0.00632  -0.1243   0.7658   0.6686
   2.000   0.6956   0.01180   0.00630  -0.1203   0.7516   1.0000
   2.500   0.7555   0.01214   0.00656  -0.1210   0.7369   1.0000
   3.000   0.8140   0.01248   0.00692  -0.1214   0.7215   1.0000
   3.500   0.8686   0.01233   0.00669  -0.1199   0.6893   1.0000
   4.000   0.9226   0.01214   0.00641  -0.1184   0.6455   1.0000
   4.500   0.9778   0.01223   0.00652  -0.1176   0.6020   1.0000
   5.000   1.0307   0.01256   0.00667  -0.1164   0.5183   1.0000
   5.500   1.0577   0.01731   0.00897  -0.1134   0.1133   1.0000
   6.000   1.0990   0.01990   0.01132  -0.1114   0.0710   1.0000
   6.500   1.1389   0.02232   0.01372  -0.1090   0.0579   1.0000
   7.000   1.1790   0.02475   0.01625  -0.1065   0.0499   1.0000
   7.500   1.2194   0.02819   0.01966  -0.1040   0.0445   1.0000
   8.000   1.2652   0.03071   0.02244  -0.1022   0.0400   1.0000
   8.500   1.3117   0.03438   0.02622  -0.1007   0.0370   1.0000
   9.000   1.3533   0.03953   0.03190  -0.0986   0.0344   1.0000
   9.500   1.3857   0.04549   0.03860  -0.0951   0.0334   1.0000
  10.000   1.4008   0.05353   0.04745  -0.0902   0.0337   1.0000
  10.500   1.3957   0.06215   0.05678  -0.0841   0.0342   1.0000
  11.000   1.3703   0.07026   0.06545  -0.0770   0.0346   1.0000
  11.500   1.2463   0.07228   0.06781  -0.0580   0.0361   1.0000
  12.000   1.1199   0.09018   0.08658  -0.0536   0.0446   1.0000
