  
       XFOIL         Version 6.96
  
 Calculated polar for: P-51D TIP (BL215) AIRFOIL                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3404   0.02014   0.01201  -0.0481   0.8449   0.0575
  -4.500  -0.2877   0.01864   0.01041  -0.0479   0.8402   0.0642
  -4.000  -0.2400   0.01735   0.00911  -0.0472   0.8362   0.0698
  -3.000  -0.1496   0.01504   0.00736  -0.0456   0.8295   0.2158
  -2.500  -0.1235   0.01469   0.00892  -0.0392   0.8250   0.7454
  -2.000  -0.0796   0.01599   0.01022  -0.0348   0.8219   0.7915
  -1.500  -0.0400   0.01709   0.01134  -0.0290   0.8196   0.8281
  -1.000   0.0006   0.01778   0.01201  -0.0247   0.8173   0.8554
  -0.500   0.0471   0.01810   0.01227  -0.0246   0.8133   0.8639
   0.000   0.0963   0.01842   0.01255  -0.0253   0.8106   0.8680
   0.500   0.1465   0.01880   0.01290  -0.0264   0.8083   0.8713
   1.000   0.1996   0.01918   0.01326  -0.0277   0.8061   0.8737
   1.500   0.2505   0.01970   0.01384  -0.0283   0.8047   0.8761
   2.000   0.2804   0.02071   0.01495  -0.0267   0.7971   0.8812
   2.500   0.3368   0.02104   0.01538  -0.0277   0.7928   0.8845
   3.000   0.3849   0.02133   0.01581  -0.0273   0.7815   0.8884
   3.500   0.4798   0.01703   0.01151  -0.0259   0.7493   0.8887
   4.000   0.5360   0.01526   0.00992  -0.0235   0.7237   0.8930
   4.500   0.5945   0.01336   0.00815  -0.0218   0.6939   0.8978
   5.000   0.6432   0.01162   0.00634  -0.0184   0.5323   0.9036
   5.500   0.6279   0.01596   0.00807  -0.0086   0.0989   0.9161
   6.500   0.6975   0.01913   0.01133  -0.0036   0.0507   0.9454
   7.000   0.7539   0.02219   0.01443  -0.0049   0.0345   0.9662
   7.500   0.8220   0.02584   0.01828  -0.0077   0.0268   1.0000
   8.000   0.8800   0.03109   0.02389  -0.0088   0.0244   1.0000
   8.500   0.9228   0.03772   0.03134  -0.0075   0.0246   1.0000
   9.000   0.9465   0.04509   0.03939  -0.0050   0.0243   1.0000
  10.500 NaN      NaN       NaN       NaN        0.0731   0.9224
  11.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  11.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  12.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  12.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  13.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  13.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  14.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  14.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  15.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  15.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  16.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  16.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.000 NaN      NaN       NaN       NaN        1.0000   1.0000
  17.500 NaN      NaN       NaN       NaN        1.0000   1.0000
  18.000 NaN      NaN       NaN       NaN        1.0000   1.0000
