  
       XFOIL         Version 6.96
  
 Calculated polar for: PROPFAN CRUISE MISSILE WING AIRFOIL             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4445   0.03165   0.02608  -0.0352   1.0000   0.0876
  -4.500  -0.4113   0.02784   0.02202  -0.0330   1.0000   0.1159
  -4.000  -0.3466   0.01909   0.01153  -0.0282   1.0000   0.0412
  -3.500  -0.2989   0.01681   0.00888  -0.0265   1.0000   0.0432
  -3.000  -0.2489   0.01441   0.00640  -0.0256   1.0000   0.0462
  -2.500  -0.1954   0.01300   0.00501  -0.0260   0.9995   0.0639
  -2.000  -0.1265   0.00976   0.00446  -0.0298   0.9951   0.7413
  -1.500  -0.0629   0.00946   0.00450  -0.0300   0.9827   0.8740
  -1.000   0.0295   0.00942   0.00441  -0.0368   0.9764   0.9918
  -0.500   0.1208   0.00930   0.00409  -0.0456   0.9650   1.0000
   0.000   0.1995   0.00922   0.00390  -0.0513   0.9498   1.0000
   0.500   0.2682   0.00918   0.00381  -0.0543   0.9314   1.0000
   1.000   0.3298   0.00915   0.00379  -0.0554   0.9125   1.0000
   1.500   0.3829   0.00922   0.00389  -0.0546   0.8896   1.0000
   2.000   0.4345   0.00928   0.00401  -0.0532   0.8660   1.0000
   2.500   0.4811   0.00911   0.00383  -0.0497   0.8264   1.0000
   3.000   0.5258   0.00892   0.00351  -0.0455   0.7563   1.0000
   3.500   0.5717   0.00921   0.00352  -0.0423   0.6450   1.0000
   4.000   0.5944   0.01334   0.00482  -0.0371   0.0818   1.0000
   4.500   0.6377   0.01576   0.00720  -0.0350   0.0513   1.0000
   5.000   0.6852   0.01762   0.00915  -0.0334   0.0429   1.0000
   5.500   0.7334   0.02211   0.01371  -0.0317   0.0392   1.0000
   6.000   0.7855   0.02484   0.01700  -0.0302   0.0358   1.0000
   6.500   0.8329   0.03109   0.02405  -0.0277   0.0367   1.0000
