  
       XFOIL         Version 6.96
  
 Calculated polar for: PMC19 Smoothed                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4311   0.02793   0.02378  -0.0047   1.0000   0.0439
  -4.500  -0.3774   0.02569   0.02077  -0.0031   1.0000   0.0510
  -4.000  -0.3444   0.01730   0.01230  -0.0039   1.0000   0.0553
  -3.500  -0.2752   0.01181   0.00628  -0.0077   0.9133   0.0696
  -3.000  -0.2293   0.00924   0.00302  -0.0054   0.8411   0.0953
  -2.500  -0.1863   0.00692   0.00035  -0.0037   0.7911   0.1265
  -2.000  -0.1247   0.00522  -0.00232   0.0007   0.7533   0.0577
  -1.500  -0.0738   0.00403  -0.00391   0.0027   0.7103   0.0602
  -1.000  -0.0237   0.00324  -0.00499   0.0044   0.6690   0.0656
  -0.500   0.0259   0.00261  -0.00577   0.0055   0.6299   0.0794
   0.000   0.0772   0.00219  -0.00636   0.0061   0.5925   0.1154
   0.500   0.1043   0.00129  -0.00508   0.0132   0.5621   0.8443
   1.000   0.1410   0.00126  -0.00520   0.0187   0.5316   0.9019
   1.500   0.1844   0.00124  -0.00534   0.0230   0.5031   0.9553
   2.000   0.2545   0.00133  -0.00548   0.0196   0.4740   0.9706
   2.500   0.3300   0.00146  -0.00552   0.0148   0.4471   0.9821
   3.000   0.4059   0.00160  -0.00552   0.0097   0.4238   0.9939
   3.500   0.4627   0.00182  -0.00534   0.0082   0.4044   1.0000
   4.000   0.5045   0.00230  -0.00492   0.0098   0.3894   1.0000
   4.500   0.5553   0.00269  -0.00454   0.0099   0.3742   1.0000
   5.000   0.6088   0.00303  -0.00415   0.0096   0.3600   1.0000
   5.500   0.6620   0.00331  -0.00383   0.0094   0.3417   1.0000
   6.000   0.7148   0.00342  -0.00363   0.0093   0.3152   1.0000
   6.500   0.7673   0.00347  -0.00336   0.0092   0.2839   1.0000
   7.000   0.8080   0.00477  -0.00300   0.0093   0.0630   1.0000
   7.500   0.8494   0.00668  -0.00080   0.0100   0.0430   1.0000
   8.000   0.8821   0.00966   0.00238   0.0113   0.0373   1.0000
   8.500   0.9191   0.01240   0.00529   0.0128   0.0329   1.0000
   9.000   0.9556   0.01634   0.00934   0.0147   0.0307   1.0000
   9.500   0.9924   0.02233   0.01552   0.0162   0.0287   1.0000
  10.000   1.0160   0.03007   0.02384   0.0180   0.0275   1.0000
  10.500   1.0375   0.03739   0.03165   0.0198   0.0284   1.0000
  11.000   1.0151   0.04304   0.03826   0.0240   0.0322   1.0000
