  
       XFOIL         Version 6.96
  
 Calculated polar for: PSU-90-125WL                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0960   0.01219   0.00662  -0.0763   0.8691   0.7320
  -1.500   0.1500   0.01218   0.00655  -0.0751   0.8582   0.7681
  -1.000   0.1988   0.01223   0.00660  -0.0730   0.8447   0.7990
  -0.500   0.2499   0.01219   0.00653  -0.0712   0.8319   0.8277
   0.000   0.3013   0.01208   0.00640  -0.0693   0.8193   0.8548
   0.500   0.3480   0.01203   0.00636  -0.0667   0.8039   0.8824
   1.000   0.3991   0.01187   0.00619  -0.0647   0.7899   0.9104
   1.500   0.4556   0.01175   0.00607  -0.0641   0.7731   0.9391
   2.000   0.5299   0.01160   0.00589  -0.0675   0.7555   0.9637
   2.500   0.6168   0.01141   0.00568  -0.0738   0.7352   0.9821
   3.000   0.7070   0.01117   0.00542  -0.0810   0.7116   0.9998
   3.500   0.7355   0.01112   0.00536  -0.0764   0.6855   1.0000
   4.000   0.7755   0.01115   0.00533  -0.0734   0.6557   1.0000
   4.500   0.8214   0.01125   0.00537  -0.0713   0.6193   1.0000
   5.000   0.8674   0.01151   0.00551  -0.0693   0.5760   1.0000
   5.500   0.9119   0.01202   0.00585  -0.0671   0.5276   1.0000
   6.000   0.9542   0.01272   0.00638  -0.0647   0.4768   1.0000
   6.500   0.9945   0.01354   0.00704  -0.0620   0.4253   1.0000
   7.000   1.0324   0.01449   0.00785  -0.0591   0.3737   1.0000
   7.500   1.0677   0.01556   0.00878  -0.0559   0.3234   1.0000
   8.000   1.1004   0.01676   0.00985  -0.0525   0.2752   1.0000
   8.500   1.1297   0.01810   0.01107  -0.0486   0.2311   1.0000
   9.000   1.1530   0.01957   0.01241  -0.0440   0.1889   1.0000
   9.500   1.1746   0.02128   0.01399  -0.0396   0.1501   1.0000
  10.000   1.1961   0.02316   0.01580  -0.0357   0.1162   1.0000
  10.500   1.2154   0.02536   0.01798  -0.0319   0.0892   1.0000
  11.000   1.2288   0.02819   0.02074  -0.0282   0.0595   1.0000
  11.500   1.2239   0.03276   0.02518  -0.0236   0.0363   1.0000
  12.500   1.2244   0.04204   0.03473  -0.0178   0.0259   1.0000
  13.000   1.2270   0.04700   0.03990  -0.0158   0.0234   1.0000
  13.500   1.2318   0.05198   0.04501  -0.0145   0.0218   1.0000
  14.000   1.2410   0.05698   0.05014  -0.0130   0.0208   1.0000
  14.500   1.2496   0.06235   0.05585  -0.0121   0.0199   1.0000
  15.000   1.2530   0.06848   0.06230  -0.0121   0.0191   1.0000
