  
       XFOIL         Version 6.96
  
 Calculated polar for: R140 (original)                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5664   0.01906   0.01137   0.0032   0.9879   0.0164
  -4.500  -0.4966   0.01648   0.00843  -0.0002   0.9749   0.0175
  -4.000  -0.4215   0.01503   0.00671  -0.0043   0.9618   0.0368
  -3.500  -0.3468   0.01385   0.00545  -0.0089   0.9492   0.1009
  -3.000  -0.3025   0.01104   0.00453  -0.0082   0.9307   0.5345
  -2.500  -0.2429   0.01063   0.00427  -0.0087   0.9116   0.6395
  -2.000  -0.1844   0.01022   0.00421  -0.0084   0.8950   0.7317
  -1.500  -0.1292   0.01017   0.00415  -0.0079   0.8729   0.7674
  -1.000  -0.0749   0.01017   0.00410  -0.0070   0.8521   0.8033
  -0.500  -0.0206   0.01020   0.00414  -0.0061   0.8320   0.8369
   0.000   0.0380   0.01029   0.00415  -0.0061   0.8144   0.8650
   0.500   0.1003   0.01050   0.00435  -0.0072   0.7907   0.8852
   1.000   0.1638   0.01069   0.00454  -0.0083   0.7670   0.9069
   1.500   0.2421   0.01103   0.00487  -0.0125   0.7483   0.9236
   2.000   0.3241   0.01138   0.00533  -0.0180   0.7305   0.9372
   2.500   0.3990   0.01149   0.00523  -0.0211   0.6651   0.9520
   3.000   0.4741   0.01158   0.00543  -0.0250   0.6057   0.9664
   3.500   0.5266   0.01328   0.00563  -0.0255   0.2643   0.9837
   4.000   0.5914   0.01587   0.00721  -0.0292   0.0149   0.9970
   4.500   0.6314   0.01700   0.00867  -0.0269   0.0137   1.0000
   5.000   0.6502   0.01851   0.01048  -0.0203   0.0137   1.0000
   5.500   0.6683   0.02035   0.01248  -0.0134   0.0143   1.0000
   6.000   0.6984   0.02352   0.01590  -0.0080   0.0159   1.0000
   6.500   0.7388   0.02848   0.02139  -0.0039   0.0190   1.0000
