  
       XFOIL         Version 6.96
  
 Calculated polar for: RAE(NPL) 5212 AIRFOIL                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4363   0.02055   0.01265  -0.0407   0.9747   0.0536
  -4.500  -0.3743   0.01880   0.01089  -0.0424   0.9663   0.0608
  -4.000  -0.3046   0.01739   0.00956  -0.0459   0.9595   0.0747
  -3.500  -0.2471   0.01593   0.00829  -0.0471   0.9488   0.1161
  -3.000  -0.1986   0.01387   0.00822  -0.0471   0.9386   0.5848
  -2.500  -0.1278   0.01441   0.00874  -0.0491   0.9313   0.6413
  -2.000  -0.0728   0.01489   0.00924  -0.0480   0.9198   0.6789
  -1.500  -0.0144   0.01533   0.00974  -0.0472   0.9104   0.7172
  -1.000   0.0566   0.01514   0.00948  -0.0500   0.9030   0.7307
   0.000   0.2039   0.01440   0.00866  -0.0567   0.8867   0.7495
   0.500   0.2694   0.01400   0.00830  -0.0581   0.8741   0.7581
   1.000   0.3486   0.01303   0.00732  -0.0613   0.8573   0.7671
   1.500   0.4173   0.01206   0.00633  -0.0618   0.8271   0.7761
   2.000   0.4751   0.01157   0.00581  -0.0610   0.7947   0.7854
   2.500   0.5296   0.01135   0.00559  -0.0600   0.7636   0.7963
   3.000   0.5818   0.01113   0.00537  -0.0583   0.7219   0.8069
   3.500   0.6275   0.01108   0.00522  -0.0554   0.6509   0.8192
   4.000   0.6589   0.01178   0.00517  -0.0499   0.4729   0.8334
   4.500   0.6707   0.01400   0.00606  -0.0422   0.2239   0.8520
   5.000   0.7014   0.01546   0.00707  -0.0379   0.1491   0.8765
   6.000   0.8078   0.01778   0.00936  -0.0384   0.1183   1.0000
   6.500   0.8582   0.01934   0.01084  -0.0382   0.1112   1.0000
   7.000   0.9088   0.02072   0.01217  -0.0378   0.1046   1.0000
   7.500   0.9631   0.02282   0.01426  -0.0381   0.0993   1.0000
   8.000   1.0148   0.02455   0.01615  -0.0376   0.0951   1.0000
   8.500   1.0650   0.02644   0.01812  -0.0372   0.0907   1.0000
   9.000   1.1175   0.02990   0.02175  -0.0374   0.0870   1.0000
   9.500   1.1583   0.03232   0.02462  -0.0353   0.0841   1.0000
  10.000   1.1963   0.03517   0.02783  -0.0331   0.0808   1.0000
  10.500   1.2339   0.03793   0.03075  -0.0313   0.0774   1.0000
  11.000   1.2527   0.04268   0.03602  -0.0273   0.0741   1.0000
  11.500   1.2581   0.04638   0.04033  -0.0213   0.0709   1.0000
  12.000   1.2668   0.04958   0.04383  -0.0164   0.0678   1.0000
  12.500   1.2878   0.05325   0.04750  -0.0139   0.0648   1.0000
  13.000   1.2426   0.05955   0.05435  -0.0054   0.0636   1.0000
  13.500   1.1858   0.06732   0.06265  -0.0005   0.0630   1.0000
  14.000   1.1170   0.07949   0.07527  -0.0019   0.0632   1.0000
  14.500   1.0364   0.09853   0.09463  -0.0110   0.0641   1.0000
  15.000   0.7038   0.16042   0.15719  -0.0466   0.0877   1.0000
  15.500   0.6570   0.16890   0.16568  -0.0586   0.0801   1.0000
  16.000   0.6939   0.17363   0.17047  -0.0569   0.0761   1.0000
  16.500   0.6660   0.18261   0.17946  -0.0662   0.0717   1.0000
  17.000   0.6787   0.18816   0.18506  -0.0687   0.0664   1.0000
  17.500   0.7143   0.19682   0.19377  -0.0674   0.0641   1.0000
  18.000   0.6861   0.20293   0.19989  -0.0773   0.0598   1.0000
