  
       XFOIL         Version 6.96
  
 Calculated polar for: RAF 32 MOD AIRFOIL                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1715   0.02157   0.01448  -0.1025   0.9354   0.0594
  -4.000  -0.0345   0.01771   0.01007  -0.1075   0.9215   0.0684
  -3.500   0.0249   0.01655   0.00889  -0.1083   0.9111   0.0753
  -3.000   0.1057   0.01522   0.00762  -0.1132   0.9073   0.1053
  -2.500   0.1617   0.01400   0.00711  -0.1137   0.8957   0.2928
  -2.000   0.2244   0.01345   0.00677  -0.1150   0.8860   0.3943
  -1.500   0.2917   0.01263   0.00643  -0.1170   0.8785   0.5357
  -1.000   0.3439   0.01211   0.00634  -0.1155   0.8660   0.6836
   0.000   0.4996   0.01092   0.00553  -0.1230   0.8476   1.0000
   0.500   0.5558   0.01093   0.00537  -0.1228   0.8331   1.0000
   1.000   0.6116   0.01098   0.00529  -0.1226   0.8181   1.0000
   1.500   0.6673   0.01105   0.00527  -0.1222   0.8027   1.0000
   2.000   0.7219   0.01117   0.00533  -0.1217   0.7866   1.0000
   2.500   0.7733   0.01136   0.00552  -0.1205   0.7685   1.0000
   3.000   0.8259   0.01153   0.00570  -0.1196   0.7503   1.0000
   3.500   0.8800   0.01161   0.00577  -0.1187   0.7301   1.0000
   4.000   0.9299   0.01155   0.00569  -0.1167   0.7003   1.0000
   4.500   0.9789   0.01163   0.00574  -0.1147   0.6682   1.0000
   5.000   1.0245   0.01187   0.00604  -0.1121   0.6332   1.0000
   5.500   1.0690   0.01220   0.00634  -0.1094   0.5926   1.0000
   6.000   1.1098   0.01267   0.00685  -0.1061   0.5454   1.0000
   6.500   1.1410   0.01343   0.00743  -0.1010   0.4652   1.0000
   7.000   1.1445   0.01553   0.00860  -0.0915   0.2961   1.0000
   7.500   1.1355   0.01872   0.01072  -0.0811   0.1383   1.0000
   8.000   1.1469   0.02112   0.01282  -0.0743   0.0895   1.0000
   8.500   1.1575   0.02377   0.01541  -0.0679   0.0654   1.0000
   9.000   1.1685   0.02681   0.01852  -0.0620   0.0476   1.0000
   9.500   1.1846   0.03009   0.02183  -0.0572   0.0387   1.0000
  10.000   1.2096   0.03255   0.02444  -0.0538   0.0327   1.0000
  10.500   1.2466   0.03640   0.02847  -0.0515   0.0291   1.0000
  11.000   1.2761   0.03956   0.03191  -0.0488   0.0257   1.0000
  11.500   1.3179   0.04528   0.03790  -0.0479   0.0236   1.0000
  12.000   1.3281   0.05208   0.04541  -0.0439   0.0231   1.0000
  12.500   1.3171   0.05908   0.05302  -0.0391   0.0230   1.0000
  13.000   1.2922   0.06673   0.06123  -0.0352   0.0230   1.0000
  13.500   1.2583   0.07539   0.07040  -0.0333   0.0229   1.0000
  14.000   1.2194   0.08598   0.08144  -0.0341   0.0230   1.0000
  14.500   1.1773   0.09869   0.09453  -0.0379   0.0232   1.0000
