  
       XFOIL         Version 6.96
  
 Calculated polar for: RAF 38 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2466   0.01544   0.00767  -0.0641   0.8971   0.1099
  -4.500  -0.1928   0.01460   0.00670  -0.0633   0.8789   0.1196
  -4.000  -0.1467   0.01375   0.00593  -0.0612   0.8571   0.1406
  -3.500  -0.1028   0.01269   0.00531  -0.0588   0.8388   0.2457
  -3.000  -0.0602   0.01186   0.00503  -0.0564   0.8227   0.3958
  -2.500  -0.0171   0.01130   0.00493  -0.0536   0.8076   0.5399
  -2.000   0.0262   0.01085   0.00499  -0.0502   0.7936   0.6894
  -1.500   0.0786   0.01069   0.00508  -0.0482   0.7801   0.8068
  -1.000   0.1514   0.01085   0.00526  -0.0503   0.7665   0.8861
  -0.500   0.2380   0.01124   0.00553  -0.0554   0.7522   0.9341
   0.000   0.3322   0.01156   0.00568  -0.0625   0.7374   0.9602
   0.500   0.4326   0.01172   0.00569  -0.0715   0.7216   0.9846
   1.000   0.5251   0.01154   0.00541  -0.0795   0.7048   1.0000
   1.500   0.5652   0.01153   0.00531  -0.0768   0.6876   1.0000
   2.000   0.6068   0.01155   0.00525  -0.0743   0.6697   1.0000
   2.500   0.6479   0.01157   0.00521  -0.0714   0.6478   1.0000
   3.000   0.6900   0.01165   0.00525  -0.0686   0.6254   1.0000
   3.500   0.7338   0.01180   0.00534  -0.0661   0.6051   1.0000
   4.000   0.7766   0.01197   0.00549  -0.0634   0.5817   1.0000
   4.500   0.8198   0.01217   0.00569  -0.0608   0.5583   1.0000
   5.000   0.8622   0.01241   0.00592  -0.0580   0.5325   1.0000
   5.500   0.9042   0.01271   0.00619  -0.0551   0.5054   1.0000
   6.000   0.9449   0.01309   0.00656  -0.0521   0.4763   1.0000
   6.500   0.9840   0.01359   0.00704  -0.0488   0.4447   1.0000
   7.000   1.0216   0.01418   0.00764  -0.0453   0.4122   1.0000
   7.500   1.0554   0.01480   0.00831  -0.0412   0.3708   1.0000
   8.000   1.0814   0.01568   0.00907  -0.0359   0.3092   1.0000
   8.500   1.0889   0.01745   0.01035  -0.0281   0.2225   1.0000
   9.500   1.0877   0.02192   0.01413  -0.0115   0.1166   1.0000
  10.000   1.0970   0.02423   0.01644  -0.0061   0.1004   1.0000
  10.500   1.1053   0.02699   0.01921  -0.0016   0.0877   1.0000
  11.000   1.1134   0.03012   0.02240   0.0022   0.0759   1.0000
  11.500   1.1219   0.03357   0.02588   0.0054   0.0646   1.0000
  12.000   1.1328   0.03714   0.02945   0.0081   0.0551   1.0000
  12.500   1.1459   0.04049   0.03303   0.0101   0.0480   1.0000
  13.000   1.1603   0.04419   0.03689   0.0122   0.0426   1.0000
  13.500   1.1721   0.04801   0.04091   0.0137   0.0384   1.0000
  14.000   1.1858   0.05238   0.04537   0.0155   0.0349   1.0000
  14.500   1.1914   0.05732   0.05071   0.0164   0.0330   1.0000
  15.000   1.1917   0.06300   0.05671   0.0168   0.0312   1.0000
  15.500   1.1879   0.06932   0.06334   0.0164   0.0298   1.0000
  16.000   1.1836   0.07596   0.07014   0.0153   0.0284   1.0000
  16.500   1.1562   0.08679   0.08140   0.0129   0.0276   1.0000
  17.000   1.1226   0.09896   0.09398   0.0078   0.0275   1.0000
  18.000   1.0392   0.13036   0.12620  -0.0102   0.0280   1.0000
