  
       XFOIL         Version 6.96
  
 Calculated polar for: NASA/LANGLEY RC-10(B)3 AIRFOIL                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.500  -0.4498   0.02672   0.01977  -0.0086   0.9791   0.0457
  -4.000  -0.3798   0.02148   0.01359  -0.0104   0.9737   0.0419
  -3.500  -0.3128   0.01934   0.01119  -0.0125   0.9650   0.0454
  -3.000  -0.2355   0.01707   0.00878  -0.0167   0.9600   0.0501
  -2.500  -0.1721   0.01558   0.00741  -0.0183   0.9496   0.0646
  -2.000  -0.1120   0.01348   0.00626  -0.0198   0.9400   0.2580
  -0.500   0.2608   0.01194   0.00657  -0.0589   0.9343   1.0000
   0.000   0.3056   0.01181   0.00634  -0.0563   0.9113   1.0000
   0.500   0.3473   0.01166   0.00611  -0.0530   0.8883   1.0000
   1.000   0.3896   0.01149   0.00588  -0.0496   0.8648   1.0000
   1.500   0.4335   0.01131   0.00565  -0.0466   0.8413   1.0000
   2.000   0.4789   0.01114   0.00545  -0.0439   0.8149   1.0000
   2.500   0.5250   0.01095   0.00523  -0.0412   0.7842   1.0000
   3.000   0.5725   0.01084   0.00509  -0.0389   0.7505   1.0000
   3.500   0.6198   0.01076   0.00494  -0.0366   0.7034   1.0000
   4.000   0.6666   0.01086   0.00488  -0.0342   0.6349   1.0000
   4.500   0.7117   0.01134   0.00496  -0.0318   0.5351   1.0000
   5.000   0.7540   0.01227   0.00539  -0.0294   0.4212   1.0000
   5.500   0.7939   0.01342   0.00607  -0.0269   0.3158   1.0000
   6.000   0.8304   0.01484   0.00699  -0.0241   0.2065   1.0000
   6.500   0.8607   0.01691   0.00841  -0.0202   0.1136   1.0000
   7.000   0.8917   0.01874   0.01009  -0.0161   0.0863   1.0000
   7.500   0.9232   0.02050   0.01185  -0.0121   0.0736   1.0000
   8.000   0.9571   0.02209   0.01353  -0.0084   0.0660   1.0000
   8.500   0.9914   0.02433   0.01586  -0.0049   0.0599   1.0000
   9.000   1.0274   0.02635   0.01803  -0.0018   0.0552   1.0000
   9.500   1.0656   0.02997   0.02181   0.0005   0.0513   1.0000
  10.000   1.0956   0.03249   0.02479   0.0046   0.0482   1.0000
  10.500   1.1221   0.03591   0.02861   0.0086   0.0459   1.0000
  11.000   1.1441   0.03947   0.03240   0.0126   0.0433   1.0000
  11.500   1.1425   0.04586   0.03937   0.0189   0.0418   1.0000
  12.000   1.1237   0.05053   0.04462   0.0274   0.0413   1.0000
  12.500   1.0898   0.05599   0.05055   0.0353   0.0411   1.0000
  13.000   1.0485   0.06338   0.05840   0.0391   0.0411   1.0000
  13.500   1.0005   0.07341   0.06882   0.0384   0.0414   1.0000
  14.000   0.9507   0.08709   0.08276   0.0334   0.0421   1.0000
  14.500   0.7713   0.14980   0.14582   0.0003   0.0746   1.0000
  15.000   0.7389   0.16452   0.16044  -0.0134   0.0684   1.0000
  15.500   0.7573   0.16995   0.16590  -0.0136   0.0644   1.0000
  16.000   0.5397   0.15648   0.15270   0.0011   0.0679   1.0000
  16.500   0.5558   0.16086   0.15712   0.0011   0.0642   1.0000
  17.000   0.5563   0.16766   0.16392  -0.0010   0.0620   1.0000
  17.500   0.5452   0.17243   0.16870  -0.0054   0.0562   1.0000
  18.000   0.5593   0.17702   0.17333  -0.0059   0.0531   1.0000
