  
       XFOIL         Version 6.96
  
 Calculated polar for: NASA/LANGLEY RC12-64C AIRFOIL                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -3.500  -0.3828   0.02369   0.01576  -0.0106   0.9653   0.0678
  -3.000  -0.3045   0.02061   0.01225  -0.0130   0.9598   0.0515
  -2.500  -0.2340   0.01876   0.01038  -0.0152   0.9510   0.0451
  -2.000  -0.1688   0.01761   0.00922  -0.0167   0.9403   0.0415
  -1.500  -0.0911   0.01655   0.00816  -0.0211   0.9333   0.0395
  -1.000  -0.0264   0.01598   0.00752  -0.0226   0.9207   0.0390
   0.000   0.0835   0.01216   0.00682  -0.0214   0.9004   0.8085
   0.500   0.1498   0.01220   0.00696  -0.0219   0.8866   0.8811
   1.000   0.2206   0.01210   0.00683  -0.0233   0.8712   0.9134
   1.500   0.3119   0.01200   0.00670  -0.0279   0.8517   0.9429
   2.000   0.4272   0.01200   0.00663  -0.0377   0.8187   0.9719
   2.500   0.5612   0.01161   0.00618  -0.0528   0.7727   1.0000
   3.000   0.6048   0.01148   0.00588  -0.0501   0.7213   1.0000
   3.500   0.6481   0.01152   0.00574  -0.0474   0.6591   1.0000
   4.000   0.6886   0.01185   0.00570  -0.0442   0.5691   1.0000
   4.500   0.7195   0.01291   0.00597  -0.0396   0.4006   1.0000
   5.000   0.7386   0.01511   0.00692  -0.0338   0.1892   1.0000
   5.500   0.7650   0.01662   0.00799  -0.0288   0.1303   1.0000
   6.000   0.7946   0.01767   0.00896  -0.0241   0.1118   1.0000
   6.500   0.8226   0.01883   0.01008  -0.0192   0.1006   1.0000
   7.000   0.8500   0.02021   0.01137  -0.0142   0.0906   1.0000
   7.500   0.8803   0.02127   0.01251  -0.0096   0.0817   1.0000
   8.000   0.9115   0.02285   0.01414  -0.0054   0.0732   1.0000
   8.500   0.9457   0.02481   0.01606  -0.0020   0.0658   1.0000
   9.000   0.9758   0.02597   0.01736   0.0024   0.0594   1.0000
   9.500   1.0120   0.02848   0.02003   0.0053   0.0543   1.0000
  10.000   1.0453   0.03069   0.02243   0.0087   0.0504   1.0000
  10.500   1.0783   0.03456   0.02657   0.0114   0.0473   1.0000
  11.000   1.0954   0.03750   0.03005   0.0168   0.0446   1.0000
  11.500   1.1153   0.04032   0.03311   0.0211   0.0424   1.0000
  12.000   1.1276   0.04410   0.03715   0.0257   0.0412   1.0000
  13.000   1.0913   0.05614   0.05012   0.0380   0.0403   1.0000
  13.500   1.0533   0.06354   0.05800   0.0418   0.0403   1.0000
  14.500   0.5352   0.13681   0.13288   0.0167   0.0779   1.0000
  15.000   0.4928   0.14397   0.14003   0.0091   0.0715   1.0000
  15.500   0.5054   0.14819   0.14427   0.0085   0.0684   1.0000
  16.000   0.5338   0.15411   0.15021   0.0103   0.0664   1.0000
  16.500   0.4952   0.15988   0.15597   0.0022   0.0630   1.0000
  17.000   0.5006   0.16463   0.16074   0.0001   0.0596   1.0000
  17.500   0.5161   0.16915   0.16529  -0.0006   0.0577   1.0000
  18.000   0.5389   0.17649   0.17266  -0.0006   0.0566   1.0000
