  
       XFOIL         Version 6.96
  
 Calculated polar for: RG 14 9.5% AIRFOIL                              
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4852   0.01900   0.01140  -0.0175   1.0000   0.0502
  -4.500  -0.4424   0.01733   0.00945  -0.0149   1.0000   0.0533
  -4.000  -0.4014   0.01557   0.00773  -0.0126   1.0000   0.0624
  -3.500  -0.3519   0.01418   0.00638  -0.0120   0.9978   0.0822
  -3.000  -0.2750   0.01270   0.00559  -0.0173   0.9869   0.2156
  -2.500  -0.2052   0.01102   0.00539  -0.0214   0.9742   0.5448
  -2.000  -0.1440   0.01043   0.00578  -0.0206   0.9598   0.8351
  -1.500  -0.0726   0.01052   0.00584  -0.0217   0.9461   0.9182
  -1.000   0.0429   0.01074   0.00588  -0.0322   0.9427   0.9616
  -0.500   0.1678   0.01061   0.00560  -0.0455   0.9360   0.9831
   0.000   0.2933   0.01000   0.00491  -0.0594   0.9261   0.9975
   0.500   0.3715   0.00948   0.00434  -0.0638   0.8942   1.0000
   1.000   0.4247   0.00920   0.00393  -0.0626   0.8470   1.0000
   1.500   0.4694   0.00914   0.00371  -0.0599   0.7990   1.0000
   2.000   0.5106   0.00920   0.00359  -0.0566   0.7471   1.0000
   2.500   0.5511   0.00937   0.00359  -0.0533   0.6965   1.0000
   3.000   0.5902   0.00964   0.00370  -0.0497   0.6440   1.0000
   3.500   0.6275   0.01000   0.00387  -0.0458   0.5854   1.0000
   4.000   0.6647   0.01046   0.00413  -0.0420   0.5255   1.0000
   4.500   0.7023   0.01102   0.00450  -0.0383   0.4625   1.0000
   5.000   0.7402   0.01174   0.00496  -0.0348   0.3888   1.0000
   5.500   0.7777   0.01273   0.00562  -0.0315   0.2970   1.0000
   6.000   0.8148   0.01408   0.00653  -0.0285   0.2100   1.0000
   6.500   0.8527   0.01560   0.00773  -0.0257   0.1577   1.0000
   7.000   0.8927   0.01708   0.00916  -0.0233   0.1229   1.0000
   7.500   0.9330   0.01858   0.01064  -0.0209   0.0992   1.0000
   8.000   0.9727   0.02025   0.01237  -0.0184   0.0818   1.0000
   8.500   1.0115   0.02225   0.01445  -0.0160   0.0688   1.0000
   9.000   1.0490   0.02416   0.01650  -0.0136   0.0570   1.0000
   9.500   1.0842   0.02648   0.01906  -0.0109   0.0472   1.0000
  10.000   1.1142   0.02913   0.02195  -0.0078   0.0382   1.0000
  10.500   1.1392   0.03331   0.02636  -0.0045   0.0321   1.0000
  11.000   1.1560   0.03618   0.02970   0.0001   0.0281   1.0000
  11.500   1.1652   0.03984   0.03354   0.0046   0.0252   1.0000
  12.000   1.1509   0.04626   0.04057   0.0098   0.0242   1.0000
  12.500   1.1277   0.05272   0.04760   0.0129   0.0237   1.0000
  13.000   1.0945   0.06144   0.05682   0.0124   0.0235   1.0000
  13.500   1.0534   0.07318   0.06899   0.0073   0.0237   1.0000
  14.000   1.0069   0.08851   0.08468  -0.0023   0.0241   1.0000
  15.500   0.6505   0.16910   0.16599  -0.0474   0.0554   1.0000
  16.000   0.6672   0.17709   0.17401  -0.0485   0.0528   1.0000
  16.500   0.6525   0.18428   0.18119  -0.0563   0.0488   1.0000
  17.000   0.6615   0.19063   0.18757  -0.0595   0.0451   1.0000
  17.500   0.6879   0.19778   0.19478  -0.0591   0.0426   1.0000
  18.000   0.6856   0.20617   0.20316  -0.0644   0.0418   1.0000
