  
       XFOIL         Version 6.96
  
 Calculated polar for: RG-15 8.9%                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4331   0.02317   0.01653  -0.0338   1.0000   0.0333
  -4.500  -0.3873   0.01920   0.01180  -0.0316   1.0000   0.0355
  -4.000  -0.3415   0.01668   0.00914  -0.0301   1.0000   0.0437
  -3.500  -0.2959   0.01485   0.00724  -0.0284   1.0000   0.0537
  -3.000  -0.2437   0.01339   0.00579  -0.0284   0.9984   0.0809
  -2.500  -0.1684   0.01103   0.00516  -0.0342   0.9888   0.4581
  -2.000  -0.1002   0.01051   0.00563  -0.0359   0.9751   0.7611
  -1.500  -0.0303   0.01045   0.00560  -0.0377   0.9601   0.8396
  -1.000   0.0378   0.01024   0.00536  -0.0388   0.9449   0.8979
  -0.500   0.1170   0.00997   0.00504  -0.0422   0.9316   0.9463
   0.000   0.2228   0.00967   0.00464  -0.0517   0.9209   0.9764
   0.500   0.3323   0.00923   0.00414  -0.0623   0.9057   0.9937
   1.000   0.4103   0.00878   0.00363  -0.0667   0.8753   1.0000
   1.500   0.4573   0.00861   0.00334  -0.0648   0.8333   1.0000
   2.000   0.5019   0.00867   0.00326  -0.0623   0.7878   1.0000
   2.500   0.5494   0.00889   0.00330  -0.0603   0.7380   1.0000
   3.000   0.5979   0.00921   0.00346  -0.0584   0.6842   1.0000
   3.500   0.6461   0.00963   0.00368  -0.0566   0.6261   1.0000
   4.000   0.6936   0.01015   0.00400  -0.0547   0.5631   1.0000
   4.500   0.7403   0.01078   0.00445  -0.0527   0.4953   1.0000
   5.000   0.7861   0.01152   0.00500  -0.0508   0.4219   1.0000
   5.500   0.8303   0.01246   0.00571  -0.0488   0.3398   1.0000
   6.000   0.8734   0.01362   0.00659  -0.0468   0.2526   1.0000
   6.500   0.9142   0.01518   0.00778  -0.0446   0.1653   1.0000
   7.000   0.9529   0.01714   0.00948  -0.0422   0.1007   1.0000
   7.500   0.9914   0.01910   0.01124  -0.0399   0.0581   1.0000
   8.000   1.0230   0.02210   0.01433  -0.0361   0.0321   1.0000
   8.500   1.0527   0.02620   0.01858  -0.0323   0.0244   1.0000
   9.000   1.0903   0.02927   0.02205  -0.0297   0.0207   1.0000
   9.500   1.1226   0.03369   0.02690  -0.0267   0.0190   1.0000
  10.000   1.1441   0.03947   0.03328  -0.0230   0.0184   1.0000
  10.500   1.1442   0.04644   0.04107  -0.0175   0.0188   1.0000
  11.000   1.1092   0.05434   0.04974  -0.0101   0.0197   1.0000
  11.500   1.0615   0.06383   0.05982  -0.0081   0.0205   1.0000
  12.000   1.0149   0.07585   0.07225  -0.0132   0.0210   1.0000
  12.500   0.9652   0.09290   0.08962  -0.0253   0.0215   1.0000
  13.000   0.9063   0.11943   0.11630  -0.0431   0.0228   1.0000
