  
       XFOIL         Version 6.96
  
 Calculated polar for: Rhode St. Genese 34                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1773   0.01799   0.00973  -0.0992   0.7824   0.0774
  -4.500   0.2274   0.01642   0.00825  -0.0974   0.7652   0.0823
  -4.000   0.2767   0.01521   0.00704  -0.0953   0.7461   0.0895
  -3.500   0.3216   0.01426   0.00618  -0.0925   0.7205   0.0994
  -3.000   0.3693   0.01356   0.00557  -0.0900   0.6888   0.1218
  -2.500   0.4149   0.01288   0.00494  -0.0872   0.6425   0.1968
  -2.000   0.4517   0.01251   0.00467  -0.0831   0.5712   0.3246
  -1.500   0.5451   0.01188   0.00518  -0.0898   0.4671   0.9677
  -1.000   0.6285   0.01273   0.00543  -0.0959   0.4337   1.0000
  -0.500   0.6672   0.01327   0.00567  -0.0927   0.4193   1.0000
   0.000   0.7096   0.01388   0.00599  -0.0902   0.4095   1.0000
   0.500   0.7539   0.01437   0.00634  -0.0881   0.4012   1.0000
   1.000   0.8015   0.01510   0.00679  -0.0867   0.3931   1.0000
   1.500   0.8464   0.01557   0.00723  -0.0847   0.3867   1.0000
   2.000   0.8937   0.01615   0.00773  -0.0833   0.3808   1.0000
   2.500   0.9452   0.01697   0.00837  -0.0829   0.3751   1.0000
   3.000   0.9908   0.01754   0.00900  -0.0813   0.3702   1.0000
   3.500   1.0373   0.01816   0.00965  -0.0799   0.3650   1.0000
   4.000   1.0857   0.01884   0.01028  -0.0790   0.3594   1.0000
   4.500   1.1334   0.01968   0.01110  -0.0781   0.3531   1.0000
   5.000   1.1754   0.02026   0.01182  -0.0761   0.3474   1.0000
   5.500   1.2217   0.02096   0.01256  -0.0749   0.3423   1.0000
   6.000   1.2729   0.02195   0.01347  -0.0750   0.3359   1.0000
   6.500   1.3096   0.02255   0.01432  -0.0722   0.3312   1.0000
   7.000   1.3490   0.02320   0.01511  -0.0701   0.3253   1.0000
   7.500   1.3972   0.02398   0.01579  -0.0697   0.3173   1.0000
   8.000   1.4214   0.02452   0.01665  -0.0650   0.3113   1.0000
   8.500   1.4509   0.02498   0.01722  -0.0612   0.3037   1.0000
   9.000   1.4803   0.02568   0.01801  -0.0577   0.2969   1.0000
   9.500   1.4928   0.02639   0.01898  -0.0516   0.2895   1.0000
  10.000   1.5190   0.02701   0.01961  -0.0480   0.2813   1.0000
  10.500   1.5210   0.02826   0.02123  -0.0419   0.2718   1.0000
  11.000   1.5331   0.02962   0.02276  -0.0377   0.2620   1.0000
  11.500   1.5401   0.03152   0.02487  -0.0338   0.2490   1.0000
  12.000   1.5451   0.03412   0.02777  -0.0306   0.2284   1.0000
  12.500   1.5352   0.03817   0.03178  -0.0273   0.1912   1.0000
  13.000   1.5040   0.04505   0.03854  -0.0244   0.1650   1.0000
  13.500   1.4730   0.05321   0.04674  -0.0232   0.1497   1.0000
  14.000   1.4406   0.06248   0.05612  -0.0234   0.1373   1.0000
  14.500   1.4074   0.07263   0.06640  -0.0247   0.1265   1.0000
  15.000   1.3750   0.08332   0.07717  -0.0269   0.1156   1.0000
  15.500   1.3483   0.09366   0.08758  -0.0296   0.1045   1.0000
  16.000   1.3302   0.10306   0.09710  -0.0324   0.0939   1.0000
  16.500   1.3199   0.11139   0.10553  -0.0351   0.0849   1.0000
  17.000   1.3151   0.11882   0.11302  -0.0377   0.0783   1.0000
  17.500   1.3134   0.12571   0.11990  -0.0404   0.0732   1.0000
  18.000   1.3173   0.13146   0.12558  -0.0426   0.0686   1.0000
