  
       XFOIL         Version 6.96
  
 Calculated polar for: S1010 HPV airfoil                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5451   0.01514   0.00713  -0.0042   1.0000   0.0739
  -4.500  -0.4975   0.01385   0.00584  -0.0025   1.0000   0.1013
  -4.000  -0.4504   0.01285   0.00495  -0.0009   1.0000   0.1328
  -3.500  -0.4036   0.01188   0.00407   0.0009   1.0000   0.1698
  -3.000  -0.3578   0.01089   0.00331   0.0028   1.0000   0.2235
  -2.500  -0.3150   0.00963   0.00275   0.0050   1.0000   0.3553
  -2.000  -0.2875   0.00771   0.00269   0.0115   1.0000   0.7862
  -1.500  -0.2158   0.00786   0.00301   0.0107   1.0000   0.9471
  -1.000  -0.0862   0.00806   0.00296  -0.0037   1.0000   0.9917
  -0.500  -0.0237   0.00790   0.00273  -0.0057   1.0000   1.0000
   0.000   0.0000   0.00784   0.00267   0.0000   1.0000   1.0000
   0.500   0.0237   0.00790   0.00273   0.0057   1.0000   1.0000
   1.000   0.0858   0.00805   0.00296   0.0037   0.9918   1.0000
   1.500   0.2155   0.00786   0.00301  -0.0106   0.9472   1.0000
   2.000   0.2873   0.00771   0.00269  -0.0115   0.7857   1.0000
   2.500   0.3148   0.00963   0.00274  -0.0049   0.3559   1.0000
   4.000   0.4502   0.01285   0.00495   0.0009   0.1328   1.0000
   4.500   0.4975   0.01384   0.00584   0.0025   0.1014   1.0000
   5.000   0.5450   0.01514   0.00713   0.0042   0.0739   1.0000
   5.500   0.5930   0.01712   0.00937   0.0061   0.0553   1.0000
   6.000   0.6406   0.01962   0.01214   0.0079   0.0450   1.0000
   6.500   0.6845   0.02377   0.01670   0.0097   0.0372   1.0000
   7.000   0.7267   0.02810   0.02201   0.0122   0.0319   1.0000
   7.500   0.7609   0.03300   0.02748   0.0140   0.0271   1.0000
