  
       XFOIL         Version 6.96
  
 Calculated polar for: S1046 17% (Danny Howell)                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5202   0.01406   0.00719  -0.0115   0.8689   0.4245
  -4.500  -0.4711   0.01383   0.00686  -0.0098   0.8423   0.4443
  -4.000  -0.4213   0.01363   0.00655  -0.0083   0.8170   0.4649
  -3.500  -0.3701   0.01342   0.00632  -0.0069   0.7936   0.4848
  -3.000  -0.3184   0.01327   0.00614  -0.0057   0.7706   0.5058
  -2.500  -0.2665   0.01314   0.00594  -0.0046   0.7476   0.5281
  -2.000  -0.2135   0.01302   0.00580  -0.0036   0.7261   0.5491
  -1.500  -0.1605   0.01295   0.00574  -0.0027   0.7033   0.5709
  -1.000  -0.1074   0.01291   0.00564  -0.0017   0.6810   0.5940
  -0.500  -0.0535   0.01288   0.00561  -0.0008   0.6599   0.6149
   0.000   0.0000   0.01288   0.00564   0.0000   0.6372   0.6371
   0.500   0.0535   0.01288   0.00561   0.0008   0.6150   0.6599
   1.000   0.1074   0.01291   0.00564   0.0017   0.5940   0.6810
   1.500   0.1605   0.01295   0.00574   0.0027   0.5709   0.7033
   2.000   0.2135   0.01302   0.00580   0.0036   0.5491   0.7261
   2.500   0.2665   0.01314   0.00594   0.0046   0.5281   0.7476
   3.000   0.3184   0.01327   0.00614   0.0057   0.5058   0.7706
   3.500   0.3701   0.01342   0.00632   0.0069   0.4848   0.7936
   4.000   0.4213   0.01363   0.00655   0.0083   0.4649   0.8170
   4.500   0.4710   0.01383   0.00686   0.0098   0.4444   0.8424
   5.000   0.5202   0.01406   0.00719   0.0115   0.4245   0.8690
   5.500   0.5708   0.01433   0.00755   0.0130   0.4051   0.8973
   6.000   0.6298   0.01475   0.00798   0.0126   0.3857   0.9262
   6.500   0.7010   0.01527   0.00859   0.0095   0.3639   0.9522
   7.000   0.7847   0.01587   0.00923   0.0037   0.3406   0.9705
   7.500   0.8712   0.01652   0.00992  -0.0031   0.3167   0.9881
   8.000   0.9344   0.01702   0.01045  -0.0060   0.2940   1.0000
   8.500   0.9528   0.01751   0.01092  -0.0002   0.2774   1.0000
   9.000   0.9825   0.01824   0.01158   0.0039   0.2593   1.0000
   9.500   1.0130   0.01900   0.01244   0.0078   0.2400   1.0000
  10.000   1.0417   0.01985   0.01335   0.0118   0.2193   1.0000
  10.500   1.0643   0.02091   0.01434   0.0163   0.1981   1.0000
  11.000   1.0791   0.02208   0.01562   0.0218   0.1778   1.0000
  11.500   1.0908   0.02375   0.01732   0.0266   0.1596   1.0000
  12.000   1.0987   0.02608   0.01964   0.0303   0.1423   1.0000
  12.500   1.1046   0.02906   0.02266   0.0330   0.1258   1.0000
  13.000   1.1080   0.03270   0.02641   0.0346   0.1097   1.0000
  13.500   1.1061   0.03724   0.03101   0.0354   0.0952   1.0000
  14.000   1.0989   0.04272   0.03656   0.0354   0.0823   1.0000
  14.500   1.0873   0.04912   0.04302   0.0345   0.0713   1.0000
  15.000   1.0729   0.05632   0.05028   0.0328   0.0622   1.0000
  15.500   1.0590   0.06395   0.05794   0.0306   0.0549   1.0000
  16.000   1.0499   0.07156   0.06569   0.0279   0.0492   1.0000
  16.500   1.0422   0.07914   0.07338   0.0253   0.0443   1.0000
  17.000   1.0376   0.08651   0.08079   0.0224   0.0405   1.0000
  17.500   1.0325   0.09430   0.08877   0.0194   0.0372   1.0000
  18.000   1.0310   0.10167   0.09624   0.0163   0.0346   1.0000
