  
       XFOIL         Version 6.96
  
 Calculated polar for: S1210 12%                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.0467   0.06422   0.06115  -0.0964   0.8949   0.0736
  -4.500   0.2575   0.02659   0.02211  -0.1845   0.8869   0.0525
  -4.000   0.4128   0.01808   0.01195  -0.2077   0.8773   0.0405
  -3.500   0.5264   0.01518   0.00881  -0.2190   0.8538   0.0442
  -3.000   0.6660   0.01313   0.00640  -0.2361   0.8125   0.0556
  -2.500   0.7647   0.01285   0.00613  -0.2452   0.7578   0.2926
  -2.000   0.8189   0.01400   0.00701  -0.2439   0.7144   0.3405
  -1.500   0.8769   0.01438   0.00703  -0.2439   0.6815   0.3576
  -1.000   0.9367   0.01465   0.00693  -0.2445   0.6554   0.3696
  -0.500   0.9953   0.01486   0.00697  -0.2449   0.6347   0.3795
   0.000   1.0548   0.01513   0.00704  -0.2455   0.6169   0.3910
   0.500   1.1142   0.01545   0.00722  -0.2461   0.6018   0.4044
   1.000   1.1729   0.01581   0.00751  -0.2465   0.5884   0.4201
   1.500   1.2320   0.01621   0.00790  -0.2471   0.5770   0.4404
   2.000   1.2900   0.01660   0.00834  -0.2474   0.5656   0.4671
   2.500   1.3475   0.01702   0.00890  -0.2477   0.5545   0.5024
   3.000   1.4043   0.01743   0.00944  -0.2477   0.5419   0.5520
   3.500   1.4616   0.01784   0.01001  -0.2479   0.5307   0.6205
   4.000   1.5139   0.01819   0.01073  -0.2469   0.5193   0.7201
   4.500   1.5473   0.01818   0.01102  -0.2416   0.5077   1.0000
   5.000   1.6023   0.01875   0.01151  -0.2414   0.4943   1.0000
   5.500   1.6543   0.01927   0.01199  -0.2405   0.4798   1.0000
   6.000   1.7032   0.01978   0.01256  -0.2390   0.4651   1.0000
   6.500   1.7503   0.02032   0.01321  -0.2371   0.4499   1.0000
   7.000   1.7958   0.02090   0.01390  -0.2349   0.4339   1.0000
   7.500   1.8386   0.02152   0.01459  -0.2322   0.4155   1.0000
   8.000   1.8749   0.02217   0.01549  -0.2283   0.3926   1.0000
   8.500   1.9071   0.02303   0.01644  -0.2237   0.3656   1.0000
   9.000   1.9275   0.02425   0.01775  -0.2170   0.3282   1.0000
   9.500   1.9357   0.02646   0.01982  -0.2087   0.2840   1.0000
  10.000   1.9362   0.02980   0.02296  -0.2001   0.2453   1.0000
  10.500   1.9353   0.03372   0.02680  -0.1923   0.2157   1.0000
  11.000   1.9372   0.03787   0.03103  -0.1857   0.1937   1.0000
  11.500   1.9374   0.04259   0.03583  -0.1800   0.1778   1.0000
  12.000   1.9380   0.04774   0.04108  -0.1753   0.1658   1.0000
  12.500   1.9393   0.05325   0.04661  -0.1715   0.1558   1.0000
  13.000   1.9453   0.05853   0.05220  -0.1687   0.1475   1.0000
  13.500   1.9536   0.06389   0.05765  -0.1661   0.1403   1.0000
  14.000   1.9584   0.06972   0.06377  -0.1644   0.1336   1.0000
  14.500   1.9626   0.07577   0.06996  -0.1629   0.1262   1.0000
  15.000   1.9575   0.08323   0.07772  -0.1627   0.1190   1.0000
  15.500   1.9575   0.09016   0.08483  -0.1624   0.1123   1.0000
  16.000   1.9494   0.09857   0.09354  -0.1637   0.1056   1.0000
  16.500   1.9489   0.10580   0.10094  -0.1646   0.0997   1.0000
  17.000   1.9382   0.11516   0.11064  -0.1675   0.0933   1.0000
  17.500   1.9332   0.12345   0.11912  -0.1701   0.0872   1.0000
  18.000   1.9213   0.13353   0.12954  -0.1745   0.0808   1.0000
