  
       XFOIL         Version 6.96
  
 Calculated polar for: S2050 8.93%                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4354   0.01497   0.00747  -0.0343   1.0000   0.0584
  -4.500  -0.3871   0.01391   0.00642  -0.0334   1.0000   0.0948
  -4.000  -0.3381   0.01293   0.00548  -0.0325   1.0000   0.1322
  -3.500  -0.2883   0.01188   0.00467  -0.0320   1.0000   0.1892
  -3.000  -0.2378   0.01057   0.00412  -0.0321   1.0000   0.3445
  -2.500  -0.1930   0.00958   0.00431  -0.0304   1.0000   0.6361
  -2.000  -0.1522   0.00978   0.00463  -0.0273   1.0000   0.7264
  -1.500  -0.0812   0.01013   0.00500  -0.0302   0.9881   0.7845
  -1.000  -0.0002   0.01028   0.00516  -0.0346   0.9714   0.8296
  -0.500   0.0702   0.01007   0.00499  -0.0365   0.9497   0.8637
   0.000   0.1431   0.00971   0.00467  -0.0386   0.9313   0.8958
   0.500   0.2067   0.00926   0.00427  -0.0385   0.9063   0.9280
   1.000   0.2817   0.00885   0.00386  -0.0410   0.8758   0.9527
   1.500   0.3631   0.00865   0.00357  -0.0454   0.8319   0.9706
   2.000   0.4454   0.00866   0.00344  -0.0503   0.7754   0.9865
   2.500   0.5115   0.00884   0.00342  -0.0526   0.7136   1.0000
   3.000   0.5504   0.00919   0.00357  -0.0496   0.6520   1.0000
   3.500   0.6000   0.00967   0.00379  -0.0485   0.5819   1.0000
   4.000   0.6502   0.01028   0.00416  -0.0474   0.5055   1.0000
   4.500   0.6990   0.01106   0.00461  -0.0462   0.4208   1.0000
   5.000   0.7474   0.01196   0.00526  -0.0450   0.3369   1.0000
   5.500   0.7943   0.01310   0.00604  -0.0438   0.2457   1.0000
   6.000   0.8398   0.01454   0.00706  -0.0426   0.1522   1.0000
   6.500   0.8830   0.01646   0.00859  -0.0410   0.0808   1.0000
   7.000   0.9222   0.01911   0.01113  -0.0383   0.0478   1.0000
   7.500   0.9642   0.02150   0.01367  -0.0362   0.0391   1.0000
   8.000   1.0053   0.02547   0.01775  -0.0341   0.0351   1.0000
   8.500   1.0500   0.02910   0.02184  -0.0322   0.0334   1.0000
   9.000   1.0887   0.03321   0.02652  -0.0299   0.0311   1.0000
   9.500   1.1175   0.03860   0.03258  -0.0269   0.0300   1.0000
  10.000   1.1217   0.04681   0.04176  -0.0222   0.0305   1.0000
  10.500   1.0956   0.05628   0.05205  -0.0167   0.0320   1.0000
  11.000   1.0522   0.06464   0.06086  -0.0129   0.0330   1.0000
  11.500   1.0041   0.07581   0.07237  -0.0172   0.0336   1.0000
  12.000   0.9523   0.09278   0.08958  -0.0296   0.0344   1.0000
