  
       XFOIL         Version 6.96
  
 Calculated polar for: AIRFOIL 3024    9.84%                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1543   0.03750   0.03316  -0.0918   0.9372   0.0808
  -4.500  -0.1036   0.02389   0.01749  -0.0904   0.9257   0.0342
  -4.000  -0.0398   0.02024   0.01311  -0.0914   0.9181   0.0347
  -3.500   0.0133   0.01802   0.01054  -0.0901   0.9065   0.0363
  -3.000   0.0655   0.01609   0.00853  -0.0889   0.8955   0.0407
  -2.500   0.1190   0.01424   0.00700  -0.0878   0.8858   0.1206
  -2.000   0.1647   0.01272   0.00667  -0.0862   0.8736   0.4339
  -1.500   0.2286   0.01125   0.00666  -0.0857   0.8630   0.9315
  -1.000   0.3353   0.01084   0.00585  -0.0954   0.8565   1.0000
  -0.500   0.3800   0.01081   0.00557  -0.0927   0.8415   1.0000
   0.000   0.4259   0.01078   0.00534  -0.0903   0.8257   1.0000
   0.500   0.4728   0.01075   0.00514  -0.0880   0.8087   1.0000
   1.000   0.5210   0.01069   0.00494  -0.0859   0.7908   1.0000
   1.500   0.5707   0.01062   0.00474  -0.0841   0.7726   1.0000
   2.000   0.6218   0.01053   0.00454  -0.0824   0.7539   1.0000
   2.500   0.6717   0.01056   0.00451  -0.0808   0.7309   1.0000
   3.000   0.7232   0.01055   0.00443  -0.0794   0.7074   1.0000
   3.500   0.7740   0.01063   0.00443  -0.0779   0.6795   1.0000
   4.000   0.8237   0.01079   0.00457  -0.0764   0.6466   1.0000
   4.500   0.8730   0.01104   0.00476  -0.0748   0.6090   1.0000
   5.000   0.9209   0.01143   0.00506  -0.0730   0.5665   1.0000
   5.500   0.9670   0.01199   0.00550  -0.0711   0.5194   1.0000
   6.000   1.0110   0.01269   0.00608  -0.0689   0.4682   1.0000
   6.500   1.0526   0.01355   0.00681  -0.0665   0.4150   1.0000
   7.000   1.0916   0.01456   0.00768  -0.0638   0.3598   1.0000
   7.500   1.1265   0.01574   0.00869  -0.0607   0.3006   1.0000
   8.000   1.1598   0.01704   0.00983  -0.0575   0.2486   1.0000
   8.500   1.1906   0.01843   0.01111  -0.0540   0.1990   1.0000
   9.000   1.2161   0.02000   0.01253  -0.0499   0.1525   1.0000
   9.500   1.2376   0.02179   0.01421  -0.0454   0.1072   1.0000
  10.000   1.2369   0.02548   0.01738  -0.0389   0.0420   1.0000
  10.500   1.2434   0.02881   0.02082  -0.0338   0.0306   1.0000
  11.000   1.2454   0.03271   0.02488  -0.0294   0.0272   1.0000
  11.500   1.2529   0.03654   0.02897  -0.0259   0.0252   1.0000
  12.000   1.2603   0.04073   0.03335  -0.0231   0.0237   1.0000
  12.500   1.2689   0.04525   0.03803  -0.0207   0.0225   1.0000
  13.000   1.2880   0.05020   0.04314  -0.0182   0.0216   1.0000
  13.500   1.2977   0.05543   0.04878  -0.0165   0.0211   1.0000
  14.000   1.2970   0.06170   0.05551  -0.0155   0.0205   1.0000
  14.500   1.2865   0.06943   0.06373  -0.0156   0.0202   1.0000
  15.000   1.2649   0.07911   0.07392  -0.0174   0.0202   1.0000
  15.500   1.2363   0.09070   0.08598  -0.0215   0.0204   1.0000
  16.000   1.2012   0.10455   0.10026  -0.0284   0.0206   1.0000
  16.500   1.1635   0.12056   0.11663  -0.0377   0.0209   1.0000
  17.000   1.1245   0.13873   0.13510  -0.0492   0.0213   1.0000
  17.500   0.7811   0.18432   0.18140  -0.0727   0.0349   1.0000
