  
       XFOIL         Version 6.96
  
 Calculated polar for: S4053                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2818   0.03971   0.03532  -0.0650   0.9705   0.0768
  -4.500  -0.2188   0.03368   0.02895  -0.0700   0.9581   0.0920
  -4.000  -0.1525   0.02889   0.02375  -0.0740   0.9460   0.1120
  -3.500  -0.0713   0.01868   0.01140  -0.0733   0.9365   0.0360
  -3.000   0.0042   0.01545   0.00793  -0.0768   0.9287   0.0398
  -2.500   0.0708   0.01361   0.00600  -0.0784   0.9156   0.0428
  -2.000   0.1313   0.01231   0.00466  -0.0787   0.8993   0.0715
  -1.500   0.1980   0.00912   0.00448  -0.0798   0.8875   0.9329
  -1.000   0.3050   0.00895   0.00392  -0.0902   0.8745   1.0000
  -0.500   0.3523   0.00905   0.00375  -0.0884   0.8528   1.0000
   0.000   0.4014   0.00918   0.00363  -0.0867   0.8333   1.0000
   0.500   0.4496   0.00937   0.00364  -0.0850   0.8137   1.0000
   1.000   0.4980   0.00956   0.00369  -0.0832   0.7936   1.0000
   1.500   0.5477   0.00976   0.00374  -0.0815   0.7742   1.0000
   2.000   0.5960   0.00999   0.00391  -0.0797   0.7528   1.0000
   2.500   0.6460   0.01019   0.00402  -0.0781   0.7318   1.0000
   3.000   0.6948   0.01038   0.00420  -0.0763   0.7075   1.0000
   3.500   0.7438   0.01057   0.00438  -0.0745   0.6816   1.0000
   4.000   0.7923   0.01074   0.00456  -0.0725   0.6516   1.0000
   4.500   0.8397   0.01091   0.00474  -0.0704   0.6154   1.0000
   5.000   0.8860   0.01114   0.00500  -0.0681   0.5704   1.0000
   5.500   0.9295   0.01155   0.00530  -0.0653   0.5092   1.0000
   6.000   0.9680   0.01237   0.00582  -0.0619   0.4187   1.0000
   6.500   1.0010   0.01375   0.00677  -0.0580   0.3134   1.0000
   7.000   1.0310   0.01554   0.00808  -0.0540   0.2090   1.0000
   7.500   1.0583   0.01769   0.00977  -0.0498   0.1320   1.0000
   8.000   1.0853   0.01988   0.01180  -0.0455   0.0967   1.0000
   8.500   1.1150   0.02190   0.01388  -0.0416   0.0773   1.0000
   9.000   1.1436   0.02381   0.01587  -0.0378   0.0621   1.0000
   9.500   1.1675   0.02602   0.01820  -0.0334   0.0501   1.0000
  10.000   1.1884   0.02862   0.02099  -0.0290   0.0390   1.0000
  10.500   1.2136   0.03268   0.02532  -0.0254   0.0319   1.0000
  11.000   1.2325   0.03614   0.02896  -0.0217   0.0269   1.0000
  11.500   1.2459   0.04155   0.03496  -0.0178   0.0242   1.0000
  12.000   1.2458   0.04722   0.04124  -0.0135   0.0229   1.0000
  12.500   1.2298   0.05409   0.04869  -0.0100   0.0222   1.0000
  13.000   1.2021   0.06235   0.05748  -0.0086   0.0219   1.0000
  13.500   1.1643   0.07281   0.06844  -0.0103   0.0220   1.0000
  14.000   1.1175   0.08634   0.08241  -0.0161   0.0224   1.0000
  14.500   1.0648   0.10399   0.10044  -0.0267   0.0233   1.0000
  15.000   1.0083   0.12745   0.12413  -0.0422   0.0246   1.0000
  15.500   0.9647   0.15201   0.14873  -0.0559   0.0262   1.0000
  16.000   0.7464   0.17778   0.17478  -0.0646   0.0571   1.0000
  16.500   0.7360   0.18606   0.18306  -0.0714   0.0506   1.0000
  17.000   0.7559   0.19172   0.18879  -0.0717   0.0473   1.0000
  17.500   0.7615   0.20187   0.19894  -0.0749   0.0461   1.0000
  18.000   0.7491   0.20941   0.20647  -0.0826   0.0438   1.0000
