  
       XFOIL         Version 6.96
  
 Calculated polar for: S4233-136-84                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1531   0.01783   0.01013  -0.0852   0.8421   0.0381
  -4.500  -0.1066   0.01643   0.00861  -0.0835   0.8290   0.0432
  -4.000  -0.0594   0.01493   0.00718  -0.0820   0.8168   0.0788
  -3.500  -0.0172   0.01285   0.00641  -0.0806   0.8055   0.3908
  -3.000   0.0310   0.01237   0.00639  -0.0790   0.7927   0.5485
  -2.500   0.0811   0.01236   0.00651  -0.0772   0.7801   0.6399
  -2.000   0.1333   0.01237   0.00646  -0.0759   0.7682   0.6914
  -1.500   0.1856   0.01233   0.00636  -0.0745   0.7573   0.7339
  -1.000   0.2377   0.01229   0.00626  -0.0731   0.7456   0.7731
  -0.500   0.2881   0.01228   0.00625  -0.0715   0.7329   0.8084
   0.000   0.3379   0.01227   0.00623  -0.0698   0.7208   0.8444
   0.500   0.3868   0.01222   0.00617  -0.0677   0.7093   0.8828
   1.000   0.4409   0.01214   0.00602  -0.0665   0.6983   0.9225
   1.500   0.5141   0.01214   0.00599  -0.0699   0.6848   0.9598
   2.000   0.6059   0.01215   0.00594  -0.0776   0.6710   0.9872
   2.500   0.6682   0.01223   0.00594  -0.0801   0.6569   1.0000
   3.000   0.7116   0.01245   0.00609  -0.0784   0.6430   1.0000
   3.500   0.7622   0.01269   0.00628  -0.0777   0.6285   1.0000
   4.000   0.8143   0.01293   0.00649  -0.0772   0.6135   1.0000
   4.500   0.8668   0.01319   0.00674  -0.0767   0.5978   1.0000
   5.000   0.9193   0.01345   0.00702  -0.0763   0.5813   1.0000
   5.500   0.9717   0.01372   0.00731  -0.0757   0.5639   1.0000
   6.000   1.0236   0.01401   0.00763  -0.0751   0.5453   1.0000
   6.500   1.0721   0.01434   0.00809  -0.0739   0.5230   1.0000
   7.000   1.1207   0.01466   0.00843  -0.0727   0.4990   1.0000
   7.500   1.1661   0.01506   0.00889  -0.0710   0.4715   1.0000
   8.000   1.2072   0.01558   0.00950  -0.0687   0.4390   1.0000
   8.500   1.2417   0.01629   0.01021  -0.0654   0.3983   1.0000
   9.000   1.2672   0.01733   0.01119  -0.0609   0.3508   1.0000
   9.500   1.2788   0.01878   0.01251  -0.0545   0.2975   1.0000
  10.000   1.2817   0.02095   0.01448  -0.0480   0.2426   1.0000
  10.500   1.2793   0.02403   0.01732  -0.0423   0.1847   1.0000
  11.000   1.2701   0.02821   0.02118  -0.0373   0.1258   1.0000
  11.500   1.2548   0.03356   0.02618  -0.0332   0.0738   1.0000
  12.000   1.2326   0.04023   0.03265  -0.0300   0.0430   1.0000
  12.500   1.2204   0.04658   0.03910  -0.0281   0.0347   1.0000
  13.000   1.2162   0.05258   0.04529  -0.0271   0.0303   1.0000
  13.500   1.2120   0.05885   0.05166  -0.0265   0.0277   1.0000
  14.000   1.2182   0.06412   0.05710  -0.0259   0.0259   1.0000
  14.500   1.2280   0.06919   0.06235  -0.0256   0.0238   1.0000
  15.000   1.2424   0.07372   0.06699  -0.0249   0.0227   1.0000
  15.500   1.2696   0.07705   0.07040  -0.0226   0.0215   1.0000
  16.000   1.2782   0.08313   0.07688  -0.0228   0.0212   1.0000
  16.500   1.2767   0.09083   0.08501  -0.0239   0.0210   1.0000
  17.000   1.2634   0.10041   0.09505  -0.0268   0.0209   1.0000
  17.500   1.2409   0.11185   0.10695  -0.0317   0.0208   1.0000
  18.000   1.2128   0.12499   0.12053  -0.0384   0.0208   1.0000
