  
       XFOIL         Version 6.96
  
 Calculated polar for: S8035 for RC aerobatic  14% thick               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.6850   0.01400   0.00704   0.0201   0.9935   0.3381
  -4.500  -0.6041   0.01351   0.00673   0.0144   0.9792   0.3892
  -4.000  -0.5270   0.01301   0.00638   0.0098   0.9634   0.4384
  -3.500  -0.4495   0.01251   0.00604   0.0055   0.9481   0.4871
  -3.000  -0.3697   0.01200   0.00569   0.0010   0.9337   0.5368
  -2.500  -0.2917   0.01149   0.00535  -0.0028   0.9171   0.5843
  -2.000  -0.2195   0.01108   0.00506  -0.0053   0.8968   0.6265
  -1.500  -0.1590   0.01084   0.00489  -0.0052   0.8700   0.6675
  -1.000  -0.1035   0.01069   0.00481  -0.0040   0.8397   0.7047
  -0.500  -0.0514   0.01061   0.00477  -0.0020   0.8071   0.7403
   0.000   0.0000   0.01059   0.00475   0.0000   0.7742   0.7742
   0.500   0.0514   0.01061   0.00477   0.0020   0.7403   0.8071
   1.000   0.1035   0.01069   0.00481   0.0040   0.7047   0.8397
   1.500   0.1590   0.01084   0.00489   0.0052   0.6674   0.8700
   2.000   0.2194   0.01108   0.00506   0.0053   0.6265   0.8968
   2.500   0.2917   0.01149   0.00535   0.0028   0.5843   0.9171
   3.000   0.3697   0.01200   0.00569  -0.0010   0.5369   0.9336
   3.500   0.4495   0.01251   0.00604  -0.0055   0.4872   0.9480
   4.000   0.5270   0.01301   0.00638  -0.0098   0.4385   0.9634
   4.500   0.6041   0.01351   0.00673  -0.0144   0.3892   0.9792
   5.000   0.6851   0.01400   0.00704  -0.0201   0.3383   0.9935
   5.500   0.7442   0.01438   0.00730  -0.0218   0.2947   1.0000
   6.000   0.7727   0.01486   0.00768  -0.0173   0.2629   1.0000
   6.500   0.8007   0.01548   0.00822  -0.0126   0.2339   1.0000
   7.000   0.8287   0.01627   0.00888  -0.0078   0.2076   1.0000
   7.500   0.8584   0.01712   0.00968  -0.0033   0.1830   1.0000
   8.000   0.8879   0.01815   0.01066   0.0012   0.1612   1.0000
   8.500   0.9177   0.01918   0.01168   0.0057   0.1412   1.0000
   9.000   0.9454   0.02036   0.01283   0.0102   0.1243   1.0000
   9.500   0.9716   0.02168   0.01415   0.0150   0.1101   1.0000
  10.000   0.9960   0.02305   0.01559   0.0198   0.0981   1.0000
  10.500   1.0161   0.02463   0.01725   0.0252   0.0878   1.0000
  11.000   1.0306   0.02644   0.01909   0.0310   0.0793   1.0000
  11.500   1.0448   0.02824   0.02094   0.0362   0.0716   1.0000
  12.000   1.0597   0.03068   0.02359   0.0405   0.0652   1.0000
  12.500   1.0765   0.03364   0.02650   0.0437   0.0594   1.0000
  13.000   1.0828   0.03659   0.02982   0.0471   0.0555   1.0000
  13.500   1.0930   0.03985   0.03318   0.0493   0.0519   1.0000
  14.000   1.0972   0.04449   0.03805   0.0511   0.0489   1.0000
  14.500   1.0900   0.04973   0.04367   0.0516   0.0467   1.0000
  15.000   1.0818   0.05559   0.04980   0.0510   0.0447   1.0000
  15.500   1.0780   0.06151   0.05586   0.0498   0.0429   1.0000
  16.000   1.0571   0.07030   0.06489   0.0473   0.0414   1.0000
  16.500   1.0163   0.08241   0.07744   0.0408   0.0411   1.0000
  17.000   0.9584   0.09927   0.09472   0.0307   0.0412   1.0000
  17.500   0.5227   0.17229   0.16876  -0.0090   0.0705   1.0000
  18.000   0.4955   0.17924   0.17570  -0.0173   0.0662   1.0000
