  
       XFOIL         Version 6.96
  
 Calculated polar for: S8037 (16%)                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2175   0.01476   0.00733  -0.0603   0.8133   0.1864
  -4.500  -0.1993   0.01340   0.00684  -0.0536   0.7992   0.3773
  -4.000  -0.1745   0.01281   0.00689  -0.0471   0.7864   0.5506
  -3.500  -0.1335   0.01281   0.00696  -0.0433   0.7754   0.6339
  -3.000  -0.0889   0.01288   0.00700  -0.0403   0.7636   0.6849
  -2.500  -0.0435   0.01300   0.00710  -0.0375   0.7519   0.7268
  -2.000   0.0085   0.01310   0.00713  -0.0358   0.7419   0.7647
  -1.500   0.0586   0.01321   0.00724  -0.0338   0.7303   0.8017
  -1.000   0.1118   0.01333   0.00734  -0.0327   0.7189   0.8322
  -0.500   0.1759   0.01341   0.00730  -0.0338   0.7093   0.8581
   0.000   0.2390   0.01356   0.00741  -0.0351   0.6970   0.8813
   1.000   0.3974   0.01410   0.00775  -0.0441   0.6744   0.9146
   1.500   0.4846   0.01434   0.00790  -0.0504   0.6614   0.9248
   2.000   0.5640   0.01457   0.00809  -0.0552   0.6472   0.9370
   2.500   0.6410   0.01470   0.00818  -0.0596   0.6326   0.9508
   3.000   0.7186   0.01476   0.00821  -0.0643   0.6172   0.9651
   3.500   0.7975   0.01475   0.00817  -0.0695   0.6007   0.9797
   4.000   0.8792   0.01459   0.00799  -0.0754   0.5826   0.9930
   4.500   0.9431   0.01435   0.00772  -0.0779   0.5639   1.0000
   5.000   0.9738   0.01436   0.00768  -0.0736   0.5458   1.0000
   5.500   1.0016   0.01447   0.00784  -0.0687   0.5253   1.0000
   6.000   1.0313   0.01464   0.00803  -0.0639   0.5034   1.0000
   6.500   1.0618   0.01492   0.00825  -0.0592   0.4802   1.0000
   7.000   1.0887   0.01531   0.00863  -0.0538   0.4534   1.0000
   7.500   1.1124   0.01584   0.00911  -0.0479   0.4238   1.0000
   8.000   1.1322   0.01651   0.00972  -0.0413   0.3935   1.0000
   8.500   1.1470   0.01736   0.01048  -0.0340   0.3636   1.0000
   9.000   1.1519   0.01829   0.01131  -0.0251   0.3362   1.0000
   9.500   1.1565   0.01941   0.01234  -0.0166   0.3102   1.0000
  10.000   1.1635   0.02080   0.01370  -0.0095   0.2845   1.0000
  10.500   1.1709   0.02257   0.01535  -0.0033   0.2615   1.0000
  11.000   1.1809   0.02452   0.01734   0.0018   0.2391   1.0000
  11.500   1.1903   0.02679   0.01959   0.0061   0.2191   1.0000
  12.000   1.2000   0.02933   0.02208   0.0099   0.2010   1.0000
  12.500   1.2102   0.03205   0.02481   0.0131   0.1843   1.0000
  13.000   1.2195   0.03501   0.02784   0.0159   0.1688   1.0000
  13.500   1.2286   0.03816   0.03102   0.0184   0.1550   1.0000
  14.000   1.2371   0.04151   0.03437   0.0205   0.1422   1.0000
  14.500   1.2437   0.04521   0.03824   0.0222   0.1310   1.0000
  15.000   1.2506   0.04909   0.04227   0.0236   0.1207   1.0000
  15.500   1.2578   0.05309   0.04633   0.0248   0.1116   1.0000
  16.000   1.2668   0.05697   0.05020   0.0259   0.1030   1.0000
  16.500   1.2677   0.06205   0.05557   0.0261   0.0962   1.0000
  17.000   1.2755   0.06632   0.05986   0.0267   0.0895   1.0000
  17.500   1.2732   0.07212   0.06594   0.0262   0.0841   1.0000
  18.000   1.2823   0.07639   0.07023   0.0265   0.0786   1.0000
