  
       XFOIL         Version 6.96
  
 Calculated polar for: S8052 (11.88%)                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3133   0.01609   0.00838  -0.0502   0.9299   0.0444
  -4.500  -0.2723   0.01381   0.00661  -0.0480   0.9149   0.1347
  -4.000  -0.2326   0.01226   0.00600  -0.0459   0.9008   0.3464
  -3.500  -0.1961   0.01126   0.00608  -0.0420   0.8874   0.6014
  -3.000  -0.1482   0.01138   0.00626  -0.0393   0.8754   0.6920
  -2.500  -0.0988   0.01157   0.00638  -0.0368   0.8640   0.7442
  -2.000  -0.0494   0.01174   0.00649  -0.0343   0.8523   0.7812
  -1.500  -0.0006   0.01188   0.00657  -0.0319   0.8395   0.8122
  -1.000   0.0479   0.01196   0.00659  -0.0294   0.8264   0.8398
  -0.500   0.0963   0.01199   0.00656  -0.0269   0.8131   0.8656
   0.000   0.1465   0.01197   0.00650  -0.0247   0.7991   0.8877
   0.500   0.1975   0.01189   0.00636  -0.0227   0.7835   0.9110
   1.000   0.2588   0.01178   0.00619  -0.0227   0.7663   0.9300
   1.500   0.3290   0.01163   0.00597  -0.0248   0.7478   0.9462
   2.000   0.4046   0.01146   0.00573  -0.0283   0.7274   0.9597
   2.500   0.4822   0.01123   0.00548  -0.0325   0.7021   0.9722
   3.000   0.5608   0.01099   0.00523  -0.0372   0.6736   0.9852
   3.500   0.6413   0.01072   0.00494  -0.0423   0.6380   0.9988
   4.000   0.6776   0.01060   0.00479  -0.0392   0.5949   1.0000
   4.500   0.7091   0.01077   0.00477  -0.0348   0.5400   1.0000
   5.000   0.7437   0.01135   0.00499  -0.0310   0.4662   1.0000
   5.500   0.7791   0.01231   0.00553  -0.0275   0.3849   1.0000
   6.000   0.8166   0.01343   0.00630  -0.0247   0.3153   1.0000
   6.500   0.8553   0.01463   0.00722  -0.0223   0.2644   1.0000
   7.000   0.8958   0.01576   0.00821  -0.0201   0.2262   1.0000
   7.500   0.9359   0.01692   0.00926  -0.0180   0.1958   1.0000
   8.000   0.9754   0.01811   0.01043  -0.0159   0.1695   1.0000
   8.500   1.0124   0.01947   0.01173  -0.0135   0.1462   1.0000
   9.000   1.0475   0.02083   0.01310  -0.0109   0.1250   1.0000
   9.500   1.0785   0.02265   0.01485  -0.0079   0.1079   1.0000
  10.000   1.1070   0.02441   0.01666  -0.0045   0.0945   1.0000
  10.500   1.1332   0.02615   0.01852  -0.0011   0.0840   1.0000
  11.000   1.1625   0.02843   0.02100   0.0017   0.0764   1.0000
  11.500   1.1942   0.03125   0.02384   0.0037   0.0697   1.0000
  12.000   1.2170   0.03374   0.02669   0.0066   0.0651   1.0000
  12.500   1.2427   0.03659   0.02969   0.0088   0.0611   1.0000
  13.000   1.2594   0.04071   0.03415   0.0111   0.0575   1.0000
  13.500   1.2625   0.04428   0.03810   0.0138   0.0541   1.0000
  14.000   1.2705   0.04749   0.04139   0.0152   0.0502   1.0000
  14.500   1.2624   0.05339   0.04766   0.0162   0.0475   1.0000
  15.000   1.2474   0.05955   0.05425   0.0159   0.0450   1.0000
  15.500   1.2318   0.06678   0.06182   0.0142   0.0429   1.0000
  16.000   1.2309   0.07267   0.06774   0.0123   0.0401   1.0000
  16.500   1.1926   0.08524   0.08073   0.0069   0.0391   1.0000
  17.000   1.1444   0.10116   0.09711  -0.0025   0.0388   1.0000
  17.500   0.6498   0.18669   0.18353  -0.0538   0.0740   1.0000
  18.000   0.6844   0.19408   0.19101  -0.0526   0.0702   1.0000
