  
       XFOIL         Version 6.96
  
 Calculated polar for: S9032 (9%)                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5664   0.01316   0.00555  -0.0011   1.0000   0.1664
  -4.500  -0.5207   0.01211   0.00473   0.0008   1.0000   0.2213
  -4.000  -0.4749   0.01121   0.00410   0.0026   1.0000   0.2882
  -3.500  -0.4294   0.01044   0.00365   0.0046   1.0000   0.3679
  -3.000  -0.3845   0.00977   0.00335   0.0068   1.0000   0.4556
  -2.500  -0.3406   0.00921   0.00317   0.0093   1.0000   0.5489
  -2.000  -0.2977   0.00878   0.00311   0.0121   1.0000   0.6370
  -1.500  -0.2573   0.00847   0.00316   0.0155   1.0000   0.7248
  -1.000  -0.2178   0.00832   0.00342   0.0193   0.9989   0.8204
  -0.500  -0.1168   0.00842   0.00373   0.0113   0.9789   0.9118
   0.000   0.0000   0.00853   0.00386   0.0000   0.9584   0.9584
   0.500   0.1168   0.00842   0.00373  -0.0113   0.9118   0.9788
   1.000   0.2178   0.00833   0.00342  -0.0193   0.8204   0.9989
   1.500   0.2574   0.00847   0.00316  -0.0156   0.7247   1.0000
   2.000   0.2979   0.00878   0.00311  -0.0122   0.6370   1.0000
   2.500   0.3407   0.00921   0.00317  -0.0093   0.5487   1.0000
   3.000   0.3846   0.00977   0.00335  -0.0068   0.4555   1.0000
   3.500   0.4295   0.01044   0.00365  -0.0046   0.3678   1.0000
   4.000   0.4751   0.01122   0.00411  -0.0027   0.2881   1.0000
   4.500   0.5209   0.01211   0.00473  -0.0008   0.2213   1.0000
   5.000   0.5665   0.01316   0.00555   0.0011   0.1663   1.0000
   5.500   0.6122   0.01433   0.00653   0.0029   0.1267   1.0000
   6.000   0.6582   0.01560   0.00775   0.0046   0.0992   1.0000
   6.500   0.7043   0.01694   0.00910   0.0064   0.0779   1.0000
   7.000   0.7482   0.01909   0.01123   0.0083   0.0632   1.0000
   7.500   0.7941   0.02093   0.01330   0.0101   0.0539   1.0000
   8.000   0.8368   0.02440   0.01705   0.0121   0.0489   1.0000
   8.500   0.8783   0.02774   0.02092   0.0142   0.0455   1.0000
   9.000   0.9167   0.03078   0.02429   0.0161   0.0416   1.0000
   9.500   0.9386   0.03778   0.03191   0.0185   0.0397   1.0000
  10.000   0.9434   0.04438   0.03940   0.0216   0.0384   1.0000
  10.500   0.9248   0.05202   0.04774   0.0244   0.0375   1.0000
  11.000   0.8764   0.06093   0.05704   0.0242   0.0380   1.0000
  11.500   0.7420   0.10048   0.09689  -0.0036   0.0511   1.0000
  12.000   0.6739   0.13076   0.12702  -0.0227   0.0695   1.0000
  12.500   0.7008   0.13517   0.13147  -0.0210   0.0637   1.0000
