  
       XFOIL         Version 6.96
  
 Calculated polar for: NASA SC(2)-0714 AIRFOIL                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3591   0.01783   0.01085  -0.0655   1.0000   0.2418
  -4.500  -0.2761   0.01729   0.01206  -0.0728   1.0000   0.5834
  -4.000  -0.2369   0.01860   0.01333  -0.0691   1.0000   0.6206
  -3.500  -0.1873   0.02044   0.01518  -0.0661   0.9942   0.6416
  -3.000  -0.1313   0.02202   0.01675  -0.0645   0.9849   0.6576
  -2.500  -0.0749   0.02338   0.01809  -0.0634   0.9761   0.6733
  -2.000  -0.0127   0.02486   0.01958  -0.0629   0.9679   0.6907
  -1.500   0.0327   0.02622   0.02100  -0.0582   0.9547   0.7098
  -1.000   0.0777   0.02651   0.02137  -0.0532   0.9402   0.7180
   0.000   0.2345   0.02512   0.02003  -0.0611   0.9105   0.7346
   0.500   0.3308   0.02338   0.01834  -0.0670   0.8927   0.7410
   1.000   0.4425   0.02137   0.01641  -0.0774   0.8764   0.7480
   1.500   0.5212   0.01936   0.01451  -0.0788   0.8535   0.7516
   2.000   0.5832   0.01816   0.01336  -0.0783   0.7965   0.7564
   2.500   0.6536   0.01855   0.01234  -0.0798   0.5131   0.7617
   3.000   0.6840   0.02111   0.01326  -0.0771   0.2276   0.7658
   3.500   0.7211   0.02232   0.01395  -0.0739   0.1510   0.7682
   4.000   0.7640   0.02340   0.01484  -0.0717   0.1259   0.7717
   4.500   0.8170   0.02442   0.01578  -0.0719   0.1104   0.7743
   5.000   0.8737   0.02565   0.01692  -0.0729   0.0991   0.7770
   5.500   0.9359   0.02713   0.01828  -0.0752   0.0899   0.7806
   6.000   0.9959   0.02836   0.01962  -0.0767   0.0826   0.7836
   6.500   1.0489   0.03001   0.02130  -0.0765   0.0767   0.7858
   7.000   1.1021   0.03152   0.02289  -0.0764   0.0714   0.7885
   7.500   1.1566   0.03385   0.02545  -0.0767   0.0666   0.7914
   8.000   1.2104   0.03604   0.02778  -0.0772   0.0628   0.7956
   8.500   1.2629   0.03972   0.03183  -0.0779   0.0597   0.7990
   9.000   1.2982   0.04264   0.03523  -0.0750   0.0568   0.8015
   9.500   1.3360   0.04550   0.03825  -0.0730   0.0549   0.8043
  10.000   1.3570   0.05096   0.04422  -0.0692   0.0536   0.8073
  10.500   1.3444   0.05724   0.05138  -0.0611   0.0529   0.8108
  11.000   1.3066   0.06415   0.05899  -0.0514   0.0526   0.8142
  11.500   1.2550   0.07326   0.06873  -0.0448   0.0525   0.8162
  12.000   1.1913   0.08479   0.08079  -0.0428   0.0529   0.8175
  12.500   1.1285   0.09977   0.09617  -0.0480   0.0535   0.8187
  13.000   0.6510   0.16081   0.15788  -0.0683   0.0807   0.8044
  13.500   0.6887   0.16550   0.16260  -0.0656   0.0788   0.8075
  14.000   0.6403   0.17363   0.17076  -0.0758   0.0732   0.8079
  14.500   0.6581   0.17850   0.17564  -0.0770   0.0706   0.8113
  15.000   0.6826   0.18570   0.18286  -0.0780   0.0694   0.8148
  15.500   0.6564   0.19158   0.18875  -0.0860   0.0643   0.8158
  16.000   0.6743   0.19621   0.19343  -0.0865   0.0620   0.8183
  16.500   0.6791   0.20287   0.20011  -0.0891   0.0609   0.8206
  17.000   0.6732   0.20862   0.20590  -0.0942   0.0569   0.8225
  17.500   0.6857   0.21381   0.21112  -0.0962   0.0549   0.8256
  18.000   0.7159   0.22160   0.21893  -0.0962   0.0539   0.8299
