  
       XFOIL         Version 6.96
  
 Calculated polar for: SD2030-086-88                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4619   0.04122   0.03676  -0.0330   0.9974   0.0745
  -4.500  -0.4019   0.03532   0.03030  -0.0373   0.9906   0.0884
  -4.000  -0.3384   0.03055   0.02514  -0.0411   0.9841   0.1049
  -3.500  -0.2630   0.02021   0.01270  -0.0397   0.9814   0.0418
  -3.000  -0.1976   0.01790   0.01006  -0.0412   0.9741   0.0430
  -2.500  -0.1309   0.01622   0.00831  -0.0435   0.9669   0.0491
  -2.000  -0.0643   0.01442   0.00719  -0.0463   0.9587   0.1925
  -1.500  -0.0217   0.01232   0.00750  -0.0435   0.9483   0.8134
  -1.000   0.0970   0.01243   0.00757  -0.0549   0.9478   1.0000
  -0.500   0.1683   0.01241   0.00731  -0.0584   0.9359   1.0000
   0.000   0.2603   0.01224   0.00698  -0.0657   0.9284   1.0000
   0.500   0.3404   0.01186   0.00652  -0.0703   0.9159   1.0000
   1.000   0.4166   0.01131   0.00594  -0.0738   0.9023   1.0000
   1.500   0.4845   0.01071   0.00534  -0.0753   0.8860   1.0000
   2.000   0.5398   0.01023   0.00489  -0.0741   0.8635   1.0000
   2.500   0.5937   0.00984   0.00453  -0.0726   0.8373   1.0000
   3.000   0.6466   0.00955   0.00423  -0.0709   0.8036   1.0000
   3.500   0.6929   0.00948   0.00413  -0.0679   0.7539   1.0000
   4.000   0.7385   0.00961   0.00410  -0.0649   0.6793   1.0000
   4.500   0.7776   0.01029   0.00428  -0.0608   0.5581   1.0000
   5.000   0.8097   0.01157   0.00490  -0.0561   0.4209   1.0000
   5.500   0.8436   0.01298   0.00576  -0.0523   0.3045   1.0000
   6.000   0.8798   0.01444   0.00677  -0.0492   0.2130   1.0000
   6.500   0.9172   0.01601   0.00805  -0.0464   0.1463   1.0000
   7.000   0.9548   0.01772   0.00960  -0.0435   0.1075   1.0000
   7.500   0.9924   0.01965   0.01148  -0.0407   0.0857   1.0000
   8.000   1.0323   0.02144   0.01342  -0.0383   0.0696   1.0000
   8.500   1.0698   0.02283   0.01489  -0.0359   0.0532   1.0000
   9.000   1.1026   0.02525   0.01750  -0.0327   0.0373   1.0000
   9.500   1.1332   0.02897   0.02151  -0.0291   0.0271   1.0000
  10.000   1.1597   0.03175   0.02449  -0.0255   0.0220   1.0000
  10.500   1.1795   0.03781   0.03121  -0.0214   0.0203   1.0000
  11.000   1.1810   0.04316   0.03724  -0.0152   0.0195   1.0000
  11.500   1.1638   0.04946   0.04418  -0.0089   0.0192   1.0000
  12.000   1.1324   0.05705   0.05234  -0.0045   0.0193   1.0000
  12.500   1.0930   0.06649   0.06226  -0.0042   0.0195   1.0000
  13.000   1.0483   0.07899   0.07517  -0.0094   0.0197   1.0000
  13.500   1.0018   0.09586   0.09234  -0.0205   0.0203   1.0000
  14.000   0.8858   0.14437   0.14099  -0.0494   0.0259   1.0000
  14.500   0.8761   0.15882   0.15539  -0.0561   0.0279   1.0000
  15.000   0.7163   0.16657   0.16359  -0.0543   0.0505   1.0000
  15.500   0.6992   0.17538   0.17237  -0.0627   0.0475   1.0000
  16.000   0.7027   0.18268   0.17969  -0.0666   0.0441   1.0000
  16.500   0.7150   0.18893   0.18598  -0.0688   0.0414   1.0000
  17.000   0.7341   0.19842   0.19550  -0.0694   0.0398   1.0000
  17.500   0.7330   0.20585   0.20294  -0.0747   0.0395   1.0000
  18.000   0.7264   0.21232   0.20940  -0.0814   0.0372   1.0000
