  
       XFOIL         Version 6.96
  
 Calculated polar for: SD7080 (9.2%)                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3749   0.02519   0.02110  -0.0434   0.9911   0.0870
  -4.500  -0.3076   0.01922   0.01486  -0.0492   0.9827   0.1059
  -4.000  -0.2361   0.00622  -0.00060  -0.0496   0.9769   0.0382
  -3.500  -0.1598   0.00405  -0.00305  -0.0534   0.9683   0.0397
  -3.000  -0.0847   0.00292  -0.00428  -0.0573   0.9580   0.0471
  -2.500  -0.0150   0.00194  -0.00475  -0.0607   0.9464   0.1656
  -2.000   0.0517   0.00138  -0.00386  -0.0639   0.9347   0.5577
  -1.500   0.1084   0.00118  -0.00329  -0.0623   0.9205   0.8121
  -0.500   0.2811   0.00103  -0.00359  -0.0714   0.8942   0.9952
   0.000   0.3323   0.00104  -0.00379  -0.0703   0.8690   1.0000
   0.500   0.3761   0.00108  -0.00393  -0.0675   0.8378   1.0000
   1.000   0.4242   0.00113  -0.00407  -0.0653   0.8025   1.0000
   1.500   0.4737   0.00120  -0.00422  -0.0634   0.7606   1.0000
   2.500   0.5729   0.00145  -0.00444  -0.0602   0.6622   1.0000
   3.000   0.6219   0.00163  -0.00451  -0.0587   0.6100   1.0000
   3.500   0.6705   0.00183  -0.00451  -0.0572   0.5569   1.0000
   4.000   0.7187   0.00207  -0.00446  -0.0558   0.5038   1.0000
   4.500   0.7663   0.00236  -0.00434  -0.0545   0.4530   1.0000
   5.000   0.8134   0.00269  -0.00414  -0.0531   0.4030   1.0000
   5.500   0.8597   0.00309  -0.00384  -0.0517   0.3559   1.0000
   6.500   0.9495   0.00416  -0.00296  -0.0487   0.2671   1.0000
   7.000   0.9925   0.00484  -0.00231  -0.0470   0.2242   1.0000
   7.500   1.0341   0.00568  -0.00149  -0.0452   0.1862   1.0000
   8.000   1.0735   0.00663  -0.00050  -0.0432   0.1481   1.0000
   8.500   1.1104   0.00777   0.00061  -0.0410   0.1123   1.0000
   9.000   1.1444   0.00913   0.00195  -0.0385   0.0797   1.0000
   9.500   1.1670   0.01143   0.00423  -0.0345   0.0451   1.0000
  10.000   1.1675   0.01492   0.00784  -0.0276   0.0300   1.0000
  10.500   1.1634   0.01887   0.01194  -0.0216   0.0251   1.0000
  11.000   1.1685   0.02286   0.01625  -0.0174   0.0226   1.0000
  11.500   1.1700   0.02800   0.02168  -0.0140   0.0210   1.0000
  12.000   1.1681   0.03423   0.02819  -0.0115   0.0200   1.0000
  12.500   1.1620   0.04191   0.03616  -0.0099   0.0192   1.0000
  13.000   1.1479   0.05137   0.04602  -0.0094   0.0189   1.0000
  13.500   1.1230   0.06263   0.05770  -0.0108   0.0187   1.0000
  14.000   1.0903   0.07512   0.07062  -0.0145   0.0188   1.0000
  14.500   1.0495   0.08915   0.08510  -0.0208   0.0190   1.0000
  15.000   0.9906   0.10609   0.10255  -0.0310   0.0196   1.0000
  15.500   0.8850   0.13225   0.12931  -0.0496   0.0218   1.0000
  16.000   0.7809   0.16746   0.16459  -0.0694   0.0265   1.0000
  16.500   0.7616   0.18365   0.18074  -0.0764   0.0325   1.0000
