  
       XFOIL         Version 6.96
  
 Calculated polar for: SD8040 (10%)                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.3446   0.02470   0.01799  -0.0513   0.9816   0.0356
  -4.500  -0.2708   0.02089   0.01375  -0.0556   0.9734   0.0387
  -4.000  -0.1983   0.01817   0.01064  -0.0584   0.9630   0.0413
  -3.500  -0.1245   0.01623   0.00865  -0.0617   0.9524   0.0503
  -3.000  -0.0405   0.01418   0.00681  -0.0672   0.9449   0.0890
  -2.500   0.0275   0.01232   0.00596  -0.0701   0.9313   0.3043
  -2.000   0.0864   0.01091   0.00570  -0.0703   0.9161   0.6088
  -1.500   0.1381   0.01020   0.00553  -0.0672   0.8994   0.8026
  -1.000   0.1971   0.00980   0.00521  -0.0650   0.8823   0.9249
  -0.500   0.3011   0.00939   0.00460  -0.0733   0.8657   0.9886
   0.000   0.3596   0.00914   0.00414  -0.0735   0.8376   1.0000
   0.500   0.4033   0.00905   0.00383  -0.0705   0.8069   1.0000
   1.000   0.4503   0.00904   0.00360  -0.0680   0.7735   1.0000
   1.500   0.4994   0.00913   0.00345  -0.0660   0.7372   1.0000
   2.000   0.5491   0.00933   0.00344  -0.0642   0.6960   1.0000
   2.500   0.5993   0.00962   0.00351  -0.0625   0.6532   1.0000
   3.000   0.6494   0.01000   0.00365  -0.0609   0.6082   1.0000
   3.500   0.6991   0.01046   0.00389  -0.0594   0.5612   1.0000
   4.000   0.7483   0.01099   0.00421  -0.0580   0.5133   1.0000
   4.500   0.7971   0.01159   0.00462  -0.0565   0.4653   1.0000
   5.000   0.8453   0.01226   0.00510  -0.0550   0.4185   1.0000
   5.500   0.8928   0.01301   0.00570  -0.0535   0.3729   1.0000
   6.000   0.9397   0.01381   0.00639  -0.0521   0.3288   1.0000
   6.500   0.9856   0.01472   0.00717  -0.0505   0.2875   1.0000
   7.000   1.0298   0.01575   0.00807  -0.0488   0.2489   1.0000
   7.500   1.0735   0.01682   0.00908  -0.0470   0.2126   1.0000
   8.000   1.1153   0.01803   0.01023  -0.0450   0.1803   1.0000
   8.500   1.1551   0.01938   0.01155  -0.0429   0.1527   1.0000
   9.000   1.1916   0.02095   0.01306  -0.0403   0.1294   1.0000
   9.500   1.2264   0.02254   0.01471  -0.0376   0.1089   1.0000
  10.000   1.2545   0.02467   0.01677  -0.0342   0.0924   1.0000
  10.500   1.2787   0.02672   0.01892  -0.0302   0.0799   1.0000
  11.000   1.3000   0.02906   0.02134  -0.0262   0.0702   1.0000
  11.500   1.3204   0.03144   0.02397  -0.0225   0.0628   1.0000
  12.000   1.3391   0.03465   0.02734  -0.0192   0.0571   1.0000
  12.500   1.3549   0.03767   0.03049  -0.0162   0.0523   1.0000
  13.000   1.3688   0.04180   0.03491  -0.0136   0.0486   1.0000
  13.500   1.3762   0.04586   0.03927  -0.0113   0.0454   1.0000
  14.000   1.3867   0.05094   0.04447  -0.0098   0.0425   1.0000
  14.500   1.3754   0.05732   0.05139  -0.0090   0.0410   1.0000
  15.000   1.3604   0.06484   0.05933  -0.0098   0.0394   1.0000
  15.500   1.3421   0.07345   0.06830  -0.0123   0.0382   1.0000
  16.000   1.3286   0.08214   0.07722  -0.0155   0.0369   1.0000
  16.500   1.3026   0.09386   0.08925  -0.0205   0.0360   1.0000
  17.000   1.2547   0.11045   0.10628  -0.0307   0.0360   1.0000
