  
       XFOIL         Version 6.96
  
 Calculated polar for: SG6050                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.1788   0.01476   0.00778  -0.0869   0.8565   0.2999
  -4.500  -0.1232   0.01494   0.00791  -0.0867   0.8453   0.3744
  -4.000  -0.0674   0.01508   0.00791  -0.0868   0.8335   0.4078
  -3.500  -0.0112   0.01506   0.00774  -0.0867   0.8231   0.4343
  -3.000   0.0449   0.01491   0.00755  -0.0867   0.8118   0.4569
  -2.500   0.1012   0.01485   0.00745  -0.0869   0.7998   0.4817
  -2.000   0.1571   0.01475   0.00739  -0.0869   0.7894   0.5154
  -1.000   0.2711   0.01440   0.00708  -0.0875   0.7661   0.5543
  -0.500   0.3280   0.01421   0.00698  -0.0877   0.7550   0.5804
   0.000   0.3849   0.01391   0.00683  -0.0878   0.7440   0.6228
   0.500   0.4359   0.01347   0.00694  -0.0866   0.7307   0.7294
   1.000   0.4747   0.01325   0.00718  -0.0811   0.7180   0.9230
   1.500   0.5637   0.01324   0.00708  -0.0875   0.7055   0.9938
   2.000   0.6287   0.01323   0.00692  -0.0897   0.6929   1.0000
   2.500   0.6779   0.01328   0.00687  -0.0886   0.6787   1.0000
   3.000   0.7293   0.01338   0.00691  -0.0879   0.6634   1.0000
   3.500   0.7827   0.01351   0.00697  -0.0876   0.6478   1.0000
   4.000   0.8371   0.01366   0.00709  -0.0874   0.6316   1.0000
   4.500   0.8918   0.01385   0.00724  -0.0873   0.6147   1.0000
   5.000   0.9456   0.01411   0.00750  -0.0871   0.5962   1.0000
   5.500   0.9980   0.01439   0.00782  -0.0866   0.5751   1.0000
   6.000   1.0506   0.01468   0.00810  -0.0862   0.5536   1.0000
   6.500   1.1021   0.01507   0.00849  -0.0855   0.5310   1.0000
   7.000   1.1511   0.01552   0.00897  -0.0845   0.5061   1.0000
   7.500   1.1982   0.01608   0.00956  -0.0832   0.4802   1.0000
   8.000   1.2430   0.01673   0.01019  -0.0815   0.4530   1.0000
   8.500   1.2831   0.01750   0.01097  -0.0791   0.4236   1.0000
   9.000   1.3183   0.01841   0.01193  -0.0759   0.3929   1.0000
   9.500   1.3455   0.01952   0.01304  -0.0715   0.3604   1.0000
  10.000   1.3599   0.02092   0.01444  -0.0652   0.3272   1.0000
  10.500   1.3725   0.02282   0.01637  -0.0595   0.2922   1.0000
  11.000   1.3806   0.02541   0.01891  -0.0544   0.2550   1.0000
  11.500   1.3839   0.02879   0.02219  -0.0498   0.2157   1.0000
  12.000   1.3816   0.03302   0.02629  -0.0457   0.1778   1.0000
  12.500   1.3790   0.03769   0.03088  -0.0424   0.1449   1.0000
  13.000   1.3745   0.04284   0.03598  -0.0396   0.1188   1.0000
  13.500   1.3695   0.04840   0.04154  -0.0375   0.0975   1.0000
  14.000   1.3623   0.05459   0.04777  -0.0359   0.0805   1.0000
  14.500   1.3544   0.06128   0.05454  -0.0350   0.0665   1.0000
  15.000   1.3432   0.06872   0.06206  -0.0346   0.0556   1.0000
  15.500   1.3307   0.07666   0.07009  -0.0348   0.0469   1.0000
  16.000   1.3187   0.08475   0.07830  -0.0354   0.0403   1.0000
  16.500   1.3090   0.09266   0.08631  -0.0362   0.0355   1.0000
  17.000   1.3046   0.09996   0.09370  -0.0374   0.0320   1.0000
  17.500   1.3053   0.10632   0.10022  -0.0379   0.0294   1.0000
  18.000   1.3091   0.11243   0.10645  -0.0389   0.0273   1.0000
