  
       XFOIL         Version 6.96
  
 Calculated polar for: SOKOLOV AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.500   0.5330   0.01393   0.00637  -0.1637   0.8377   0.0739
  -1.000   0.5893   0.01308   0.00532  -0.1632   0.8143   0.0779
  -0.500   0.6454   0.01277   0.00491  -0.1629   0.7906   0.0884
   0.000   0.7027   0.01236   0.00455  -0.1630   0.7698   0.1381
   0.500   0.7593   0.01199   0.00461  -0.1633   0.7502   0.3023
   1.000   0.8138   0.01160   0.00481  -0.1630   0.7305   0.5754
   2.000   0.9180   0.01140   0.00477  -0.1607   0.6916   1.0000
   2.500   0.9732   0.01172   0.00498  -0.1605   0.6752   1.0000
   3.000   1.0283   0.01207   0.00524  -0.1603   0.6597   1.0000
   3.500   1.0828   0.01242   0.00560  -0.1600   0.6424   1.0000
   4.000   1.1369   0.01279   0.00602  -0.1596   0.6250   1.0000
   4.500   1.1906   0.01318   0.00649  -0.1591   0.6071   1.0000
   5.000   1.2430   0.01354   0.00691  -0.1583   0.5832   1.0000
   5.500   1.2923   0.01385   0.00727  -0.1567   0.5438   1.0000
   6.000   1.3383   0.01429   0.00771  -0.1546   0.4809   1.0000
   6.500   1.3669   0.01645   0.00890  -0.1500   0.3041   1.0000
   7.000   1.3682   0.02211   0.01269  -0.1422   0.0366   1.0000
   7.500   1.3965   0.02457   0.01534  -0.1376   0.0276   1.0000
   8.000   1.4105   0.02769   0.01868  -0.1311   0.0246   1.0000
   8.500   1.4173   0.03078   0.02201  -0.1235   0.0231   1.0000
   9.000   1.4258   0.03450   0.02590  -0.1170   0.0223   1.0000
   9.500   1.4464   0.03829   0.02982  -0.1121   0.0209   1.0000
  10.000   1.5007   0.04282   0.03463  -0.1103   0.0216   1.0000
