  
       XFOIL         Version 6.96
  
 Calculated polar for: St. CYR 172 (Royer)                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.7033   0.01464   0.00711   0.0243   1.0000   0.2636
  -4.500  -0.6667   0.01428   0.00685   0.0277   1.0000   0.2877
  -4.000  -0.6295   0.01399   0.00665   0.0310   0.9998   0.3154
  -3.500  -0.5431   0.01391   0.00671   0.0245   0.9863   0.3595
  -3.000  -0.4583   0.01364   0.00654   0.0186   0.9718   0.4017
  -2.500  -0.3725   0.01309   0.00614   0.0128   0.9568   0.4376
  -2.000  -0.2925   0.01239   0.00565   0.0084   0.9385   0.4729
  -1.500  -0.2072   0.01155   0.00512   0.0033   0.9209   0.5149
  -1.000  -0.1220   0.01071   0.00463  -0.0016   0.8972   0.5734
  -0.500  -0.0599   0.01005   0.00436  -0.0014   0.8513   0.6590
   0.000   0.0000   0.00956   0.00416   0.0000   0.7652   0.7648
   0.500   0.0598   0.01005   0.00435   0.0014   0.6589   0.8510
   1.000   0.1221   0.01071   0.00463   0.0016   0.5733   0.8972
   1.500   0.2072   0.01155   0.00511  -0.0033   0.5149   0.9209
   2.000   0.2926   0.01240   0.00565  -0.0084   0.4730   0.9386
   2.500   0.3726   0.01309   0.00614  -0.0128   0.4375   0.9569
   3.000   0.4584   0.01364   0.00654  -0.0186   0.4016   0.9718
   3.500   0.5433   0.01391   0.00670  -0.0245   0.3594   0.9864
   4.000   0.6296   0.01399   0.00665  -0.0310   0.3154   0.9999
   4.500   0.6666   0.01428   0.00684  -0.0277   0.2876   1.0000
   5.000   0.7032   0.01463   0.00710  -0.0242   0.2633   1.0000
   5.500   0.7398   0.01506   0.00745  -0.0207   0.2430   1.0000
   6.000   0.7765   0.01544   0.00786  -0.0171   0.2229   1.0000
   6.500   0.8118   0.01588   0.00831  -0.0133   0.2025   1.0000
   7.000   0.8449   0.01643   0.00884  -0.0091   0.1766   1.0000
   7.500   0.8753   0.01725   0.00954  -0.0044   0.1307   1.0000
   8.000   0.9020   0.01852   0.01058   0.0007   0.0986   1.0000
   8.500   0.9281   0.01987   0.01186   0.0059   0.0876   1.0000
   9.000   0.9530   0.02136   0.01337   0.0113   0.0818   1.0000
   9.500   0.9772   0.02293   0.01494   0.0165   0.0773   1.0000
  10.000   1.0015   0.02483   0.01686   0.0215   0.0737   1.0000
  10.500   1.0286   0.02663   0.01877   0.0259   0.0709   1.0000
  11.000   1.0569   0.02869   0.02086   0.0298   0.0683   1.0000
  11.500   1.0915   0.03174   0.02393   0.0321   0.0657   1.0000
  12.000   1.1073   0.03396   0.02646   0.0376   0.0641   1.0000
  12.500   1.1210   0.03668   0.02946   0.0425   0.0624   1.0000
  13.000   1.1324   0.03964   0.03265   0.0468   0.0607   1.0000
  13.500   1.1469   0.04313   0.03629   0.0498   0.0589   1.0000
  14.000   1.1547   0.04905   0.04243   0.0521   0.0575   1.0000
  14.500   1.1255   0.05428   0.04813   0.0550   0.0571   1.0000
  15.000   1.0862   0.06197   0.05627   0.0540   0.0567   1.0000
  15.500   1.0344   0.07350   0.06826   0.0484   0.0567   1.0000
  16.000   0.9622   0.09078   0.08596   0.0376   0.0571   1.0000
  17.000   0.6520   0.18683   0.18250  -0.0182   0.0776   1.0000
  17.500   0.6923   0.19185   0.18758  -0.0153   0.0755   1.0000
  18.000   0.6740   0.20053   0.19621  -0.0251   0.0686   1.0000
