  
       XFOIL         Version 6.96
  
 Calculated polar for: UNIVERSITY OF ALBERTA UA 79-SF-187 AIRFOIL MAIN 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0177   0.06726   0.06570   0.0044   0.7424   0.1237
  -4.500  -0.0130   0.06709   0.06552   0.0011   0.7361   0.1274
  -4.000  -0.0197   0.06592   0.06437   0.0049   0.7156   0.1295
  -3.500  -0.0262   0.06544   0.06390   0.0083   0.7008   0.1330
  -2.500  -0.0125   0.06475   0.06320   0.0004   0.6865   0.1456
  -2.000  -0.0371   0.06369   0.06219   0.0132   0.6660   0.1480
  -1.500  -0.0284   0.06343   0.06192   0.0084   0.6616   0.1529
  -1.000  -0.0453   0.06203   0.06056   0.0175   0.6423   0.1551
  -0.500  -0.0649   0.06242   0.06093   0.0262   0.6390   0.1627
   0.000  -0.0818   0.06057   0.05914   0.0354   0.6214   0.1632
   0.500  -0.0626   0.06015   0.05871   0.0260   0.6165   0.1716
   1.500  -0.0761   0.05750   0.05608   0.0324   0.5955   0.1834
   2.000  -0.0850   0.05565   0.05422   0.0355   0.5848   0.1935
   2.500  -0.0789   0.05491   0.05350   0.0331   0.5764   0.2014
   3.500  -0.0662   0.05598   0.05461   0.0259   0.5545   0.2285
   4.000  -0.0730   0.05527   0.05394   0.0295   0.5438   0.2341
   4.500  -0.0547   0.05445   0.05306   0.0193   0.5364   0.2647
   5.000  -0.0536   0.05406   0.05269   0.0185   0.5270   0.2838
   5.500  -0.0432   0.05374   0.05237   0.0134   0.5187   0.3086
   7.500   0.0629   0.04940   0.04699  -0.0457   0.4895   0.2027
   8.000   0.0897   0.05105   0.04826  -0.0593   0.4832   0.1926
   8.500   0.0910   0.05106   0.04823  -0.0602   0.4719   0.1937
   9.000   0.1140   0.05328   0.05034  -0.0717   0.4668   0.1970
   9.500   0.1130   0.05311   0.05013  -0.0716   0.4557   0.1984
  10.000   0.1344   0.05557   0.05246  -0.0822   0.4510   0.2053
  10.500   0.1338   0.05538   0.05224  -0.0823   0.4404   0.2072
  11.500   0.1535   0.05772   0.05453  -0.0925   0.4256   0.2219
  12.000   0.1733   0.06024   0.05702  -0.1023   0.4215   0.2376
  12.500   0.1728   0.06028   0.05705  -0.1027   0.4121   0.2458
  13.000   0.1907   0.06243   0.05924  -0.1117   0.4068   0.2818
  13.500   0.1938   0.06314   0.06049  -0.1140   0.3999   0.5889
  14.000   0.2056   0.06390   0.06119  -0.1197   0.3927   1.0000
  14.500   0.2140   0.06548   0.06268  -0.1242   0.3889   1.0000
  15.000   0.2203   0.06617   0.06330  -0.1278   0.3792   1.0000
  15.500   0.2380   0.06899   0.06602  -0.1364   0.3751   1.0000
  16.000   0.2358   0.06856   0.06557  -0.1363   0.3662   1.0000
  16.500   0.2507   0.07061   0.06756  -0.1436   0.3606   1.0000
  17.000   0.2518   0.07092   0.06785  -0.1451   0.3528   1.0000
  17.500   0.2649   0.07263   0.06950  -0.1515   0.3465   1.0000
  18.000   0.2675   0.07322   0.07007  -0.1537   0.3390   1.0000
