  
       XFOIL         Version 6.96
  
 Calculated polar for: USA 35 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1525   0.02827   0.02091  -0.1337   0.6974   0.0753
  -4.500   0.2014   0.02520   0.01746  -0.1333   0.6813   0.0763
  -4.000   0.2544   0.02347   0.01541  -0.1329   0.6671   0.0791
  -3.500   0.3072   0.02170   0.01305  -0.1322   0.6527   0.0829
  -3.000   0.3610   0.02049   0.01173  -0.1317   0.6378   0.0869
  -2.500   0.4166   0.01953   0.01050  -0.1314   0.6255   0.0930
  -2.000   0.4714   0.01878   0.00962  -0.1309   0.6139   0.0996
  -1.500   0.5273   0.01833   0.00910  -0.1306   0.6041   0.1080
  -1.000   0.5817   0.01780   0.00863  -0.1302   0.5934   0.1185
  -0.500   0.6367   0.01741   0.00833  -0.1299   0.5840   0.1329
   0.000   0.6907   0.01713   0.00820  -0.1295   0.5740   0.1593
   0.500   0.7448   0.01644   0.00826  -0.1295   0.5648   0.3587
   1.000   0.7852   0.01524   0.00870  -0.1252   0.5545   0.8989
   1.500   0.8594   0.01565   0.00879  -0.1288   0.5445   1.0000
   2.000   0.9089   0.01605   0.00905  -0.1275   0.5336   1.0000
   2.500   0.9637   0.01657   0.00931  -0.1273   0.5234   1.0000
   3.000   1.0123   0.01696   0.00963  -0.1260   0.5115   1.0000
   3.500   1.0651   0.01753   0.01002  -0.1254   0.5009   1.0000
   4.000   1.1141   0.01796   0.01036  -0.1242   0.4891   1.0000
   4.500   1.1629   0.01853   0.01086  -0.1231   0.4775   1.0000
   5.000   1.2135   0.01891   0.01107  -0.1222   0.4657   1.0000
   5.500   1.2557   0.01944   0.01162  -0.1199   0.4529   1.0000
   6.000   1.3029   0.01992   0.01198  -0.1186   0.4417   1.0000
   6.500   1.3443   0.02040   0.01243  -0.1163   0.4300   1.0000
   7.000   1.3832   0.02106   0.01309  -0.1137   0.4187   1.0000
   7.500   1.4272   0.02160   0.01349  -0.1119   0.4083   1.0000
   8.000   1.4539   0.02243   0.01442  -0.1074   0.3979   1.0000
   8.500   1.4933   0.02327   0.01520  -0.1052   0.3893   1.0000
   9.000   1.5218   0.02432   0.01631  -0.1015   0.3799   1.0000
   9.500   1.5564   0.02542   0.01739  -0.0990   0.3711   1.0000
  10.000   1.5840   0.02667   0.01870  -0.0957   0.3619   1.0000
  10.500   1.6136   0.02812   0.02018  -0.0929   0.3533   1.0000
  11.000   1.6399   0.02963   0.02173  -0.0899   0.3444   1.0000
  11.500   1.6616   0.03156   0.02375  -0.0867   0.3354   1.0000
  12.000   1.6877   0.03324   0.02542  -0.0841   0.3259   1.0000
  12.500   1.6936   0.03613   0.02851  -0.0800   0.3160   1.0000
  13.000   1.7233   0.03786   0.03014  -0.0782   0.3060   1.0000
  13.500   1.7138   0.04200   0.03455  -0.0739   0.2955   1.0000
  14.000   1.7197   0.04554   0.03818  -0.0712   0.2849   1.0000
  14.500   1.7373   0.04826   0.04085  -0.0692   0.2744   1.0000
  15.000   1.7185   0.05442   0.04728  -0.0666   0.2635   1.0000
  15.500   1.7224   0.05885   0.05178  -0.0650   0.2540   1.0000
  16.000   1.7275   0.06333   0.05633  -0.0639   0.2456   1.0000
  16.500   1.7224   0.06916   0.06235  -0.0629   0.2380   1.0000
  17.000   1.7324   0.07333   0.06657  -0.0623   0.2312   1.0000
  17.500   1.7217   0.08012   0.07356  -0.0620   0.2245   1.0000
  18.000   1.7252   0.08523   0.07875  -0.0621   0.2179   1.0000
