  
       XFOIL         Version 6.96
  
 Calculated polar for: USA 35 A AIRFOIL                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000   0.1821   0.04461   0.03948  -0.1287   0.6928   0.1114
  -4.500   0.2198   0.04002   0.03455  -0.1307   0.6773   0.1222
  -4.000   0.2628   0.03615   0.03028  -0.1319   0.6639   0.1341
  -3.500   0.3079   0.03269   0.02648  -0.1323   0.6494   0.1464
  -3.000   0.3621   0.02039   0.01160  -0.1319   0.6379   0.0868
  -2.500   0.4180   0.01946   0.01042  -0.1316   0.6254   0.0935
  -2.000   0.4719   0.01868   0.00961  -0.1311   0.6139   0.1009
  -1.500   0.5288   0.01812   0.00893  -0.1310   0.6040   0.1107
  -1.000   0.5818   0.01765   0.00859  -0.1304   0.5936   0.1224
  -0.500   0.6391   0.01736   0.00823  -0.1304   0.5841   0.1391
   0.000   0.6913   0.01710   0.00821  -0.1297   0.5737   0.1683
   0.500   0.7461   0.01639   0.00821  -0.1298   0.5646   0.3631
   1.000   0.7829   0.01536   0.00875  -0.1251   0.5550   0.8495
   1.500   0.8598   0.01558   0.00873  -0.1288   0.5441   1.0000
   2.000   0.9094   0.01607   0.00908  -0.1277   0.5335   1.0000
   2.500   0.9641   0.01650   0.00925  -0.1274   0.5232   1.0000
   3.000   1.0129   0.01703   0.00972  -0.1262   0.5119   1.0000
   3.500   1.0681   0.01749   0.00992  -0.1260   0.5009   1.0000
   4.000   1.1136   0.01799   0.01044  -0.1242   0.4886   1.0000
   4.500   1.1681   0.01854   0.01076  -0.1241   0.4780   1.0000
   5.000   1.2114   0.01897   0.01122  -0.1219   0.4653   1.0000
   5.500   1.2573   0.01945   0.01162  -0.1203   0.4530   1.0000
   6.000   1.3054   0.01985   0.01187  -0.1190   0.4416   1.0000
   6.500   1.3437   0.02047   0.01254  -0.1163   0.4296   1.0000
   7.000   1.3870   0.02103   0.01301  -0.1144   0.4189   1.0000
   7.500   1.4229   0.02165   0.01362  -0.1113   0.4080   1.0000
   8.000   1.4562   0.02247   0.01446  -0.1079   0.3981   1.0000
   8.500   1.4941   0.02322   0.01512  -0.1054   0.3889   1.0000
   9.000   1.5221   0.02437   0.01638  -0.1017   0.3796   1.0000
   9.500   1.5632   0.02527   0.01716  -0.1000   0.3711   1.0000
  10.000   1.5842   0.02678   0.01885  -0.0958   0.3621   1.0000
  11.000   1.6363   0.02984   0.02199  -0.0896   0.3440   1.0000
  11.500   1.6743   0.03109   0.02315  -0.0881   0.3351   1.0000
  12.000   1.6787   0.03374   0.02604  -0.0834   0.3257   1.0000
  12.500   1.7056   0.03560   0.02787  -0.0812   0.3164   1.0000
  13.000   1.7087   0.03874   0.03119  -0.0773   0.3061   1.0000
  13.500   1.7155   0.04200   0.03456  -0.0742   0.2956   1.0000
  14.000   1.7405   0.04407   0.03652  -0.0723   0.2848   1.0000
  14.500   1.7186   0.04993   0.04269  -0.0688   0.2738   1.0000
  15.000   1.7213   0.05426   0.04711  -0.0668   0.2636   1.0000
  15.500   1.7336   0.05779   0.05063  -0.0654   0.2544   1.0000
  16.000   1.7193   0.06438   0.05747  -0.0640   0.2453   1.0000
  16.500   1.7513   0.06597   0.05893  -0.0631   0.2382   1.0000
  17.000   1.7193   0.07504   0.06838  -0.0626   0.2307   1.0000
  17.500   1.7508   0.07662   0.06985  -0.0619   0.2245   1.0000
  18.000   1.7120   0.08707   0.08071  -0.0624   0.2181   1.0000
