  
       XFOIL         Version 6.96
  
 Calculated polar for: USA 45 M AIRFOIL                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2563   0.03544   0.03075  -0.0515   0.9513   0.0966
  -4.500  -0.1878   0.03108   0.02611  -0.0559   0.9304   0.1159
  -4.000  -0.1319   0.02754   0.02228  -0.0571   0.8948   0.1446
  -3.000  -0.0270   0.02139   0.01473  -0.0536   0.7913   0.1562
  -2.500   0.0391   0.01743   0.00940  -0.0499   0.7284   0.0713
  -2.000   0.0891   0.01621   0.00762  -0.0475   0.6603   0.0697
  -1.500   0.1382   0.01544   0.00649  -0.0456   0.6036   0.0723
  -1.000   0.1876   0.01480   0.00561  -0.0438   0.5635   0.0744
  -0.500   0.2367   0.01435   0.00495  -0.0421   0.5337   0.0774
   0.000   0.2855   0.01390   0.00434  -0.0405   0.5105   0.0855
   0.500   0.3277   0.01264   0.00402  -0.0382   0.4924   0.4013
   1.000   0.4880   0.01183   0.00444  -0.0580   0.4669   1.0000
   1.500   0.5333   0.01217   0.00457  -0.0560   0.4529   1.0000
   2.000   0.5793   0.01258   0.00479  -0.0542   0.4406   1.0000
   2.500   0.6258   0.01302   0.00505  -0.0524   0.4287   1.0000
   3.000   0.6721   0.01342   0.00542  -0.0506   0.4171   1.0000
   3.500   0.7187   0.01391   0.00586  -0.0489   0.4061   1.0000
   4.000   0.7663   0.01446   0.00629  -0.0473   0.3958   1.0000
   4.500   0.8128   0.01489   0.00676  -0.0455   0.3846   1.0000
   5.000   0.8594   0.01541   0.00731  -0.0438   0.3737   1.0000
   5.500   0.9065   0.01592   0.00780  -0.0422   0.3628   1.0000
   6.000   0.9532   0.01637   0.00828  -0.0405   0.3517   1.0000
   6.500   0.9989   0.01692   0.00898  -0.0387   0.3407   1.0000
   7.000   1.0443   0.01739   0.00954  -0.0369   0.3285   1.0000
   7.500   1.0873   0.01757   0.00979  -0.0346   0.3120   1.0000
   8.000   1.1292   0.01777   0.01010  -0.0322   0.2948   1.0000
   8.500   1.1699   0.01805   0.01046  -0.0297   0.2765   1.0000
   9.000   1.2084   0.01837   0.01098  -0.0269   0.2526   1.0000
   9.500   1.2420   0.01898   0.01159  -0.0235   0.2149   1.0000
  10.000   1.2538   0.02120   0.01328  -0.0177   0.1309   1.0000
  10.500   1.2275   0.02534   0.01681  -0.0075   0.0438   1.0000
  11.000   1.2236   0.02866   0.02032  -0.0017   0.0362   1.0000
  11.500   1.2203   0.03261   0.02459   0.0019   0.0331   1.0000
  12.000   1.2052   0.03865   0.03093   0.0032   0.0311   1.0000
  12.500   1.1771   0.04763   0.04025   0.0015   0.0300   1.0000
  13.000   1.1569   0.05661   0.04951  -0.0011   0.0296   1.0000
  13.500   1.1366   0.06576   0.05890  -0.0038   0.0292   1.0000
  14.000   1.1202   0.07442   0.06772  -0.0062   0.0287   1.0000
  14.500   1.1140   0.08162   0.07505  -0.0078   0.0279   1.0000
  15.000   1.1177   0.08726   0.08075  -0.0086   0.0266   1.0000
  15.500   1.1320   0.09092   0.08438  -0.0079   0.0252   1.0000
  16.000   1.1881   0.08714   0.08040   0.0005   0.0238   1.0000
  16.500   1.2162   0.09015   0.08360   0.0027   0.0237   1.0000
  17.000   1.2259   0.09614   0.08988   0.0020   0.0236   1.0000
  17.500   1.2205   0.10433   0.09840  -0.0012   0.0235   1.0000
  18.000   1.2027   0.11458   0.10903  -0.0066   0.0233   1.0000
