  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V(1.95)3009-1.25 AIRFOIL          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4701   0.02303   0.01580  -0.0124   1.0000   0.0487
  -4.500  -0.4255   0.02015   0.01236  -0.0098   1.0000   0.0518
  -4.000  -0.3801   0.01760   0.00974  -0.0077   1.0000   0.0558
  -3.500  -0.3341   0.01600   0.00796  -0.0054   1.0000   0.0629
  -3.000  -0.2899   0.01452   0.00655  -0.0033   1.0000   0.0766
  -2.500  -0.2463   0.01341   0.00558  -0.0014   1.0000   0.0949
  -2.000  -0.1891   0.01265   0.00494  -0.0024   0.9962   0.1201
  -1.500  -0.1055   0.01005   0.00402  -0.0094   0.9795   0.4677
  -1.000  -0.0274   0.00881   0.00433  -0.0105   0.9605   0.9185
  -0.500   0.0885   0.00889   0.00426  -0.0208   0.9380   0.9815
   0.000   0.1880   0.00864   0.00380  -0.0287   0.8872   1.0000
   0.500   0.2347   0.00856   0.00344  -0.0262   0.8238   1.0000
   1.000   0.2814   0.00864   0.00323  -0.0238   0.7621   1.0000
   1.500   0.3288   0.00884   0.00311  -0.0216   0.6959   1.0000
   2.000   0.3761   0.00916   0.00307  -0.0195   0.6193   1.0000
   2.500   0.4232   0.00963   0.00314  -0.0174   0.5376   1.0000
   3.000   0.4696   0.01026   0.00334  -0.0154   0.4454   1.0000
   3.500   0.5148   0.01114   0.00369  -0.0134   0.3466   1.0000
   4.000   0.5614   0.01203   0.00420  -0.0118   0.2861   1.0000
   4.500   0.6094   0.01284   0.00481  -0.0103   0.2535   1.0000
   5.000   0.6580   0.01367   0.00548  -0.0089   0.2307   1.0000
   5.500   0.7075   0.01438   0.00620  -0.0077   0.2096   1.0000
   6.000   0.7563   0.01526   0.00701  -0.0065   0.1890   1.0000
   6.500   0.8046   0.01625   0.00801  -0.0053   0.1668   1.0000
   7.000   0.8525   0.01725   0.00903  -0.0041   0.1453   1.0000
   7.500   0.8998   0.01836   0.01011  -0.0028   0.1267   1.0000
   8.000   0.9475   0.01939   0.01129  -0.0015   0.1109   1.0000
   8.500   0.9934   0.02072   0.01270  -0.0001   0.0977   1.0000
   9.000   1.0375   0.02265   0.01466   0.0014   0.0878   1.0000
   9.500   1.0814   0.02452   0.01676   0.0030   0.0803   1.0000
  10.000   1.1223   0.02735   0.01982   0.0046   0.0745   1.0000
  10.500   1.1614   0.02991   0.02275   0.0065   0.0697   1.0000
  11.000   1.1960   0.03361   0.02662   0.0081   0.0648   1.0000
  11.500   1.2250   0.03552   0.02904   0.0107   0.0596   1.0000
  12.000   1.2522   0.03888   0.03243   0.0126   0.0546   1.0000
  12.500   1.2604   0.04205   0.03625   0.0164   0.0512   1.0000
  13.000   1.2676   0.04459   0.03898   0.0199   0.0475   1.0000
  13.500   1.2559   0.05038   0.04502   0.0219   0.0450   1.0000
  14.000   1.2212   0.05914   0.05437   0.0195   0.0437   1.0000
  14.500   1.1708   0.07320   0.06893   0.0109   0.0434   1.0000
  15.000   1.0927   0.09543   0.09155  -0.0042   0.0448   1.0000
  15.500   0.6012   0.16134   0.15769  -0.0276   0.0798   1.0000
  16.000   0.6237   0.16815   0.16455  -0.0268   0.0761   1.0000
  16.500   0.6043   0.17230   0.16871  -0.0321   0.0683   1.0000
  17.000   0.6302   0.17958   0.17605  -0.0309   0.0648   1.0000
  17.500   0.6088   0.18389   0.18034  -0.0370   0.0586   1.0000
  18.000   0.6361   0.18964   0.18616  -0.0356   0.0551   1.0000
