  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING-VERTOL VR-5 AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.061     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.2360   0.03497   0.02953  -0.0568   0.7982   0.0824
  -4.500  -0.1881   0.03128   0.02536  -0.0566   0.7840   0.1014
  -4.000  -0.1395   0.02842   0.02193  -0.0566   0.7703   0.1385
  -3.500  -0.0708   0.01934   0.01136  -0.0532   0.7596   0.0583
  -3.000  -0.0161   0.01735   0.00900  -0.0523   0.7483   0.0642
  -2.500   0.0380   0.01594   0.00756  -0.0518   0.7366   0.0711
  -2.000   0.0927   0.01487   0.00644  -0.0517   0.7252   0.0783
  -1.500   0.1478   0.01412   0.00564  -0.0517   0.7150   0.0932
  -1.000   0.1868   0.01148   0.00542  -0.0486   0.7058   0.7619
  -0.500   0.2297   0.01159   0.00568  -0.0444   0.6957   0.8615
   0.000   0.2698   0.01171   0.00574  -0.0391   0.6876   0.9369
   0.500   0.3640   0.01182   0.00573  -0.0461   0.6775   0.9858
   1.000   0.4467   0.01195   0.00570  -0.0525   0.6694   1.0000
   1.500   0.4913   0.01214   0.00580  -0.0517   0.6602   1.0000
   2.000   0.5396   0.01242   0.00600  -0.0512   0.6498   1.0000
   2.500   0.5932   0.01261   0.00606  -0.0511   0.6395   1.0000
   3.000   0.6486   0.01285   0.00627  -0.0515   0.6286   1.0000
   3.500   0.7044   0.01317   0.00663  -0.0519   0.6176   1.0000
   4.000   0.7604   0.01344   0.00692  -0.0522   0.6077   1.0000
   4.500   0.8166   0.01368   0.00717  -0.0525   0.5969   1.0000
   5.000   0.8720   0.01391   0.00752  -0.0527   0.5835   1.0000
   5.500   0.9274   0.01400   0.00767  -0.0526   0.5676   1.0000
   6.000   0.9818   0.01405   0.00782  -0.0524   0.5473   1.0000
   6.500   1.0355   0.01400   0.00786  -0.0519   0.5214   1.0000
   7.000   1.0876   0.01400   0.00800  -0.0514   0.4882   1.0000
   7.500   1.1377   0.01420   0.00834  -0.0508   0.4363   1.0000
   8.000   1.1768   0.01547   0.00918  -0.0492   0.3341   1.0000
   8.500   1.1982   0.01846   0.01146  -0.0463   0.2102   1.0000
   9.000   1.1988   0.02271   0.01496  -0.0420   0.1010   1.0000
   9.500   1.2020   0.02672   0.01884  -0.0385   0.0716   1.0000
  10.000   1.2061   0.03102   0.02320  -0.0358   0.0569   1.0000
  10.500   1.2115   0.03542   0.02766  -0.0333   0.0482   1.0000
  11.000   1.2237   0.03929   0.03159  -0.0312   0.0428   1.0000
  11.500   1.2413   0.04283   0.03524  -0.0282   0.0395   1.0000
  12.000   1.2658   0.04596   0.03856  -0.0258   0.0367   1.0000
  12.500   1.2903   0.04928   0.04194  -0.0237   0.0340   1.0000
  13.000   1.3222   0.05358   0.04658  -0.0207   0.0324   1.0000
  13.500   1.3302   0.05897   0.05246  -0.0191   0.0315   1.0000
  14.000   1.3258   0.06546   0.05944  -0.0181   0.0304   1.0000
  14.500   1.3113   0.07325   0.06771  -0.0179   0.0297   1.0000
  15.000   1.2834   0.08305   0.07802  -0.0192   0.0295   1.0000
  15.500   1.2444   0.09520   0.09066  -0.0228   0.0297   1.0000
  16.000   1.1972   0.11019   0.10611  -0.0294   0.0302   1.0000
  16.500   1.1433   0.12885   0.12518  -0.0401   0.0310   1.0000
  17.000   1.0848   0.15248   0.14910  -0.0553   0.0321   1.0000
  17.500   0.6887   0.18249   0.17928  -0.0527   0.0669   1.0000
  18.000   0.7003   0.18762   0.18445  -0.0538   0.0636   1.0000
