airfoil    clmax    cd0   cdc   clc   cm   m0   alpha0   alphaM
2032c 1.525400 0.063370 0.013620 0.866900 -0.128700 0.107252 -6.082820 9.500000
a18 1.313200 0.014380 0.009850 0.817500 -0.119800 0.093171 -6.774149 8.000000
a18sm 1.120300 0.015530 0.009710 0.718400 -0.121700 0.114218 -4.289717 6.500000
a63a108c 0.940700 0.008340 0.008450 0.250200 -0.004100 0.108739 -0.300920 9.500000
ag03 1.144700 0.008670 0.008210 0.434300 -0.035900 0.108350 -2.008306 10.000000
ag04 1.035200 0.000830 0.001270 0.406600 -0.034800 0.103583 -1.925369 9.500000
ag08 1.046200 0.008600 0.007840 0.425300 -0.039900 0.107536 -1.954941 9.000000
ag09 1.011600 0.010490 0.007720 0.408400 -0.033300 0.108067 -1.779149 8.500000
ag10 1.006600 0.009640 0.007840 0.388700 -0.028800 0.110210 -1.526918 8.500000
ag11 1.253800 0.013500 0.008330 0.450300 -0.035200 0.106985 -2.209016 11.000000
ag12 1.088500 0.007860 0.008120 0.446100 -0.045700 0.108270 -2.120255 9.000000
ag13 1.096100 0.009140 0.007980 0.459200 -0.048200 0.108250 -2.242032 9.000000
ag16 1.107600 0.008470 0.008280 0.459700 -0.050700 0.108791 -2.225537 9.000000
ag35 1.268000 0.009790 0.010740 0.644300 -0.045900 0.099033 -4.505890 10.000000
ag36 1.219200 0.008800 0.010410 0.619600 -0.044600 0.104739 -3.915650 9.500000
ag37 1.232200 0.008640 0.010330 0.598800 -0.043900 0.108948 -3.496209 9.500000
ag44ct02r 1.184900 0.007480 0.008950 0.429300 -0.035100 0.106632 -2.025996 10.500000
ag455ct02r 1.088200 0.000770 0.001370 0.396800 -0.028000 0.103367 -1.838762 10.000000
ag46c03 1.099100 0.006880 0.008100 0.290700 -0.026400 0.108567 -0.677617 10.500000
ag47ct02r 0.989300 0.006730 0.007930 0.359000 -0.021900 0.061160 -3.869850 18.000000
ah21-7 1.202900 0.013630 0.012970 0.450300 -0.066000 0.118432 -1.802182 10.500000
ah21-9 0.981700 0.010440 0.011370 0.400700 -0.052900 0.120863 -1.315320 8.000000
ah79100c 1.595400 0.065940 0.014180 1.041000 -0.203000 0.066753 -13.594818 16.000000
ah79k132 1.177700 0.021500 0.019880 0.696200 -0.099300 0.066630 -8.448699 14.500000
ah79k143 1.120400 0.022610 0.023140 0.660500 -0.092200 0.071325 -7.260428 14.000000
ah80129 1.160400 0.022080 0.017790 0.691600 -0.100700 0.065973 -8.483120 11.500000
ah80136 1.255400 0.016560 0.019790 0.450300 -0.027600 0.112275 -2.010688 10.000000
ah80140 1.476300 0.020240 0.018410 0.607000 -0.060400 0.105119 -3.774435 11.500000
ah82150a 1.248200 0.018250 0.020240 0.485700 -0.063500 0.068875 -5.051906 14.000000
ah82150f 1.131500 0.029550 0.031060 0.532200 -0.086600 0.080343 -4.624111 13.000000
ah83150q 1.341300 0.026530 0.020340 0.664200 -0.073900 0.065250 -8.179310 18.000000
ah83159 1.243800 0.021870 0.027340 0.484300 -0.059600 0.093520 -3.178571 10.500000
ah85l120 0.772100 0.019230 0.018450 0.298200 -0.016900 0.122289 -0.438488 7.000000
ah88k136 1.120100 0.025370 0.026120 0.651400 -0.090400 0.132918 -2.900779 7.000000
ah93156 1.231400 0.020810 0.021270 0.787200 -0.112500 0.122726 -4.414272 8.000000
ah93157 1.268400 0.019100 0.018170 0.786800 -0.118600 0.117350 -4.704729 8.000000
ah93k130 1.192900 0.025940 0.024160 0.604300 -0.082700 0.075248 -6.030726 15.000000
ah93k131 1.196200 0.025040 0.023360 0.606400 -0.079600 0.116000 -3.227586 8.500000
ah93w145 1.467600 0.015780 0.015240 0.668000 -0.089800 0.108617 -4.150069 10.000000
ah93w174 1.524600 0.016440 0.019010 0.568400 -0.070300 0.103044 -3.516066 11.500000
ah93w215 1.364700 0.017180 0.020000 0.465600 -0.050500 0.082253 -3.660588 15.000000
ah93w257 1.475800 0.029290 0.030340 0.489000 -0.075400 0.112871 -2.332363 12.000000
ah93w300 1.397200 0.023230 0.023240 0.566900 -0.070800 0.086473 -4.555824 14.500000
ah93w480b 2.227500 0.048980 0.060100 0.919900 -0.188600 0.119344 -5.707942 16.000000
ah94156 1.228300 0.019420 0.020950 0.734900 -0.102700 0.090104 -6.156158 11.500000
ah94w301 1.465600 0.026350 0.025990 0.448700 -0.082300 0.091769 -2.889464 14.000000
ames01 1.247700 0.011230 0.009760 0.359500 -0.012700 0.100439 -1.579297 13.500000
ames02 0.943600 0.008330 0.008450 0.250300 -0.004000 0.109255 -0.290980 9.000000
ames03 1.241500 0.014130 0.010870 0.325200 -0.007500 0.097483 -1.335975 12.500000
amsoil1 1.316000 0.015490 0.011950 0.512900 -0.061000 0.096121 -3.335959 12.000000
amsoil2 1.133400 0.012180 0.011640 0.344600 -0.024500 0.100752 -1.420279 10.500000
apex16 1.222000 0.022640 0.013290 0.518500 -0.076000 0.089110 -3.818629 12.500000
aquilasm 1.376000 0.033970 0.010540 0.634100 -0.070500 0.100344 -4.319262 11.000000
arad10 1.666900 0.017960 0.011000 0.669600 -0.081000 0.094394 -5.093650 15.500000
arad13 1.660700 0.015850 0.012400 0.582100 -0.050000 0.095926 -4.068237 15.500000
arad20 1.668100 0.016710 0.017680 0.539500 -0.022200 0.109800 -2.913479 13.500000
arad6 1.542500 0.042660 0.010800 0.839500 -0.139500 0.108521 -5.735799 12.000000
atr72sm 1.483200 0.010480 0.015270 0.587900 -0.047500 0.085751 -4.855869 16.500000
august160 1.200100 0.022490 0.018140 0.742000 -0.059300 0.101980 -5.275936 8.500000
avistar 1.363800 0.015580 0.012030 0.561000 -0.067200 0.087480 -4.412894 13.000000
b29root 1.339900 0.015610 0.017240 0.331300 -0.009400 0.127658 -0.595209 10.000000
b29tip 1.051800 0.010910 0.010700 0.443900 -0.031500 0.098567 -2.503551 10.000000
b540ols 1.047700 0.007960 0.009930 0.236100 0.000800 0.109328 -0.159557 10.500000
b707a 1.086100 0.012980 0.014050 0.155400 0.016300 0.110407 0.592482 12.000000
b707b 1.119900 0.011300 0.012090 0.190400 0.029600 0.092497 -0.058450 13.500000
b707c 1.008400 0.014990 0.013090 0.473900 -0.041500 0.101676 -2.660875 9.000000
b707d 0.967600 0.004300 0.000740 0.486600 -0.047900 0.090432 -3.380864 8.500000
b737a 1.348100 0.013180 0.015610 0.322500 0.007800 0.099000 -1.257576 13.500000
b737b 1.309500 0.010140 0.010910 0.382000 -0.007800 0.098856 -1.864197 14.000000
b737c 1.086500 0.011470 0.009970 0.431400 -0.033200 0.100100 -2.309690 11.000000
bacj 0.752200 0.017580 0.017580 0.044500 0.007900 0.128856 1.654652 7.000000
bambino6 1.115200 0.013940 0.016810 0.645100 -0.080500 0.084600 -5.625296 12.500000
be50 1.394400 0.017560 0.009790 0.779100 -0.104600 0.099045 -5.866085 10.000000
be50sm 1.421400 0.018970 0.009050 0.707900 -0.106000 0.111146 -4.369091 11.000000
boe103 1.456100 0.016780 0.011020 0.684900 -0.088700 0.074933 -7.140125 16.500000
boe106 1.359100 0.015030 0.011250 0.641200 -0.078600 0.079512 -6.064215 15.000000
bqm34 0.895500 0.009570 0.009750 0.320500 -0.015900 0.113661 -0.819792 9.500000
c141a 1.121500 0.017400 0.014950 0.430300 -0.050400 0.109859 -1.916830 11.500000
c141b 1.143400 0.017080 0.014280 0.467500 -0.058100 0.110148 -2.244284 11.500000
c141c 1.096400 0.014410 0.011890 0.518300 -0.070200 0.111256 -2.658625 10.500000
c141d 1.169900 0.014180 0.011230 0.524000 -0.070400 0.110569 -2.739112 11.000000
c141e 1.190000 0.013970 0.011230 0.529300 -0.071800 0.111069 -2.765496 11.000000
c141f 1.363500 0.020380 0.010750 0.548000 -0.074800 0.105145 -3.211859 13.000000
c5a 1.056200 0.016010 0.014100 0.228400 -0.014900 0.115119 0.015958 11.500000
c5b 1.136100 0.015650 0.013900 0.432800 -0.059400 0.116154 -1.726093 11.000000
c5c 1.154000 0.015380 0.013940 0.441300 -0.064100 0.116077 -1.801789 11.000000
c5d 1.174700 0.014550 0.012090 0.505400 -0.072400 0.114223 -2.424675 11.000000
c5e 1.197800 0.013600 0.010500 0.375500 -0.030300 0.102623 -1.659021 11.000000
cap21c 1.088600 0.020150 0.020460 0.307400 -0.011700 0.103075 -0.982294 10.000000
cast102 1.225500 0.017450 0.016010 0.392800 -0.048200 0.103936 -1.779249 12.000000
ch10sm 2.035900 0.062720 0.020800 1.377200 -0.272300 0.105416 -11.064430 11.500000
clarkk 1.334800 0.018720 0.010540 0.627600 -0.088200 0.078891 -5.955289 14.500000
clarkv 1.316400 0.018200 0.011360 0.667700 -0.105100 0.083988 -5.949957 14.500000
clarkw 1.368300 0.015590 0.010500 0.669400 -0.094700 0.079383 -6.432551 15.500000
clarkx 1.326600 0.016040 0.010650 0.629900 -0.090400 0.079706 -5.902768 14.000000
clarky 1.395100 0.016620 0.010550 0.641200 -0.088800 0.092462 -4.934736 12.500000
clarkyh 1.186500 0.012580 0.011790 0.616200 -0.041800 0.081760 -5.536693 13.000000
clarkys 1.215000 0.012770 0.012760 0.536000 -0.030700 0.114232 -2.692205 10.500000
clarkysm 1.350700 0.016670 0.010630 0.698500 -0.098200 0.077503 -7.012571 15.500000
clarkz 1.492300 0.028290 0.010920 0.687000 -0.092700 0.082400 -6.337379 15.000000
clarym15 1.469000 0.014970 0.011810 0.701200 -0.094500 0.075516 -7.285475 17.000000
clarym18 1.471900 0.015430 0.013650 0.683800 -0.086400 0.071405 -7.576360 18.000000
coanda1 1.044700 0.017170 0.010900 0.492100 -0.043100 0.126000 -1.905556 7.000000
coanda2 1.032000 0.018110 0.011210 0.531700 -0.045900 0.133200 -1.991742 6.500000
coanda3 1.023800 0.016000 0.009260 0.663600 -0.080000 0.117329 -3.655911 7.000000
cootie 1.429600 0.044860 0.011110 0.843000 -0.113600 0.074187 -9.363162 13.500000
cr001sm 1.373400 0.028870 0.009410 0.672000 -0.116600 0.103080 -4.519208 11.000000
cr1 1.470900 0.020130 0.013470 0.607400 -0.091800 0.082352 -5.375699 14.500000
curtisc72 1.446000 0.014660 0.011770 0.890200 -0.095900 0.092875 -7.584926 10.000000
dae11 1.643300 0.048170 0.022160 0.824100 -0.128800 0.102800 -6.016537 11.500000
dae21 1.625200 0.056530 0.017530 0.867300 -0.135600 0.100963 -6.590279 11.500000
dae31 1.650800 0.059530 0.015920 0.921100 -0.154100 0.078085 -9.796143 15.000000
dae51 1.425500 0.016190 0.001480 0.675100 -0.099800 0.087166 -5.745035 12.500000
davis 1.240700 0.014750 0.010440 0.697300 -0.103600 0.078233 -6.913081 13.000000
davis_corrected 1.299000 0.012120 0.014560 0.500300 -0.034800 0.109826 -2.555384 11.500000
defcnd1 1.375100 0.018370 0.018750 0.499300 -0.054100 0.069282 -5.206741 15.000000
defcnd2 1.427300 0.016760 0.013230 0.730700 -0.087700 0.099541 -5.340713 11.500000
defcnd3 1.367000 0.009520 0.010750 0.560900 -0.055100 0.089069 -4.297395 15.500000
df101 1.220900 0.011740 0.009710 0.548000 -0.066400 0.085975 -4.373946 14.000000
df102 1.362900 0.011960 0.009650 0.549800 -0.063100 0.094912 -3.792704 14.000000
dfvlrr4 1.391000 0.021260 0.016500 0.538000 -0.082200 0.107028 -3.026741 13.000000
dga1182 0.857800 0.013570 0.014590 0.280800 -0.011200 0.105678 -0.657134 8.000000
doa5 1.353000 0.021840 0.018090 0.486600 -0.068200 0.084573 -3.753611 16.500000
dsma523b 1.112200 0.018810 0.020980 0.512900 -0.074600 0.137523 -1.729556 7.500000
du861372 0.913100 0.015410 0.013090 0.193500 0.005000 0.092246 -0.097648 11.000000
e1200 1.489000 0.016590 0.020810 0.598200 -0.086300 0.073656 -6.121493 17.500000
e1210 1.729300 0.020930 0.014630 0.745500 -0.086600 0.097662 -5.633431 14.000000
e1211 1.693500 0.019090 0.016700 0.706300 -0.089300 0.091635 -5.707729 15.000000
e1212 1.598500 0.016830 0.015560 0.546700 -0.054500 0.097139 -3.627995 14.500000
e1212mod 1.528400 0.016450 0.015720 0.439000 -0.040400 0.103219 -2.253078 13.500000
e1213 1.462600 0.015440 0.014480 0.386100 -0.018300 0.096918 -1.983795 15.000000
e1214 1.376600 0.016320 0.016430 0.395800 -0.017800 0.096869 -2.085941 14.000000
e1230 1.645300 0.012440 0.014720 0.545100 -0.047800 0.094418 -3.773252 15.000000
e1233 1.656200 0.015350 0.017860 0.663100 -0.077100 0.090612 -5.317975 14.000000
e168 1.054100 0.010470 0.010520 0.206100 0.006800 0.105614 0.048559 12.000000
e169 1.074700 0.012190 0.012300 0.214900 0.003300 0.088819 -0.419518 14.000000
e174 1.326000 0.017220 0.011070 0.627200 -0.083700 0.089481 -5.009272 11.500000
e176 1.235200 0.014900 0.010850 0.553800 -0.065800 0.094264 -3.874989 10.500000
e178 1.139500 0.012910 0.010630 0.483200 -0.048400 0.097942 -2.933549 10.000000
e184 0.875500 0.009590 0.010170 0.295100 -0.001200 0.106867 -0.761385 8.500000
e186 0.986400 0.011710 0.011750 0.315500 0.004200 0.106952 -0.949921 10.500000
e193 1.273700 0.016060 0.011280 0.619800 -0.083100 0.079959 -5.751509 13.000000
e197 1.186100 0.012060 0.012540 0.597300 -0.078300 0.072529 -6.235280 15.000000
e201 1.243900 0.011380 0.011460 0.608300 -0.084900 0.077794 -5.819414 13.500000
e203 1.227200 0.012030 0.012280 0.550600 -0.077900 0.074230 -5.417456 14.500000
e205 1.186900 0.011470 0.011140 0.554700 -0.060700 0.079639 -4.965206 13.500000
e207 1.170800 0.010410 0.011320 0.549100 -0.063300 0.076131 -5.212544 14.500000
e209 1.166100 0.011560 0.011820 0.448600 -0.046000 0.076088 -3.895787 15.000000
e210 1.476900 0.015390 0.012610 0.740300 -0.117400 0.103544 -5.149618 10.500000
e211 1.273200 0.012920 0.010090 0.594200 -0.091100 0.100978 -3.884463 11.500000
e212 1.366400 0.013750 0.009470 0.649100 -0.107700 0.102750 -4.317275 12.000000
e214 1.389200 0.019940 0.010510 0.780200 -0.133200 0.100354 -5.774490 11.000000
e216 1.580700 0.022550 0.011380 0.938600 -0.181200 0.086079 -8.903964 14.500000
e220 1.120100 0.011870 0.013020 0.512600 -0.047500 0.085273 -4.011258 13.500000
e221 1.120600 0.009370 0.009930 0.416000 -0.025500 0.096156 -2.326323 11.500000
e222 1.263600 0.012280 0.009350 0.588400 -0.086500 0.101081 -3.821046 11.500000
e226 1.046300 0.009570 0.009170 0.420600 -0.039400 0.108144 -1.889259 10.500000
e228 0.926300 0.009580 0.009530 0.337400 -0.015700 0.110548 -1.052073 10.000000
e230 0.799200 0.010500 0.010130 0.241500 0.010800 0.116482 -0.073285 9.000000
e266 1.203700 0.018440 0.024990 0.542900 -0.055600 0.096583 -3.621053 10.000000
e297 0.820300 0.014050 0.013380 0.217800 0.003700 0.105991 -0.054893 9.000000
e325 1.192800 0.019280 0.017010 0.462200 -0.002100 0.115104 -2.015499 10.500000
e326 1.229600 0.017460 0.016250 0.516300 -0.016600 0.110392 -2.676956 11.000000
e327 1.195000 0.003220 0.002960 0.532800 -0.024800 0.108313 -2.919075 10.500000
e328 1.307000 0.013380 0.015300 0.625000 -0.045600 0.095871 -4.519148 12.500000
e329 1.388500 0.018050 0.014980 0.683600 -0.060500 0.096131 -5.111127 12.500000
e330 1.187300 0.014780 0.013740 0.453900 -0.005200 0.112984 -2.017383 11.000000
e332 1.282300 0.014610 0.013320 0.562600 -0.033900 0.107600 -3.228625 11.500000
e333 1.347600 0.020140 0.013260 0.619100 -0.048100 0.101421 -4.104233 12.000000
e334 1.423100 0.027720 0.013260 0.672200 -0.061900 0.098707 -4.810044 12.500000
e335 1.215400 0.003700 0.003000 0.506300 -0.013800 0.110888 -2.565868 11.000000
e336 1.332900 0.012580 0.015020 0.581200 -0.030200 0.110985 -3.236735 11.500000
e337 1.279500 0.003640 0.002060 0.601200 -0.038900 0.106223 -3.659787 11.000000
e338 1.303000 0.005590 0.002160 0.651500 -0.051700 0.104031 -4.262570 11.000000
e339 1.456400 0.026800 0.014780 0.736000 -0.070900 0.096613 -5.617996 13.000000
e342 1.432400 0.015720 0.016100 0.681100 -0.049300 0.113015 -4.026644 11.500000
e343 1.442900 0.020410 0.015990 0.726100 -0.061700 0.105671 -4.871299 12.000000
e344 1.501000 0.029670 0.016000 0.772900 -0.074300 0.092700 -6.337648 14.000000
e360 1.224200 0.012670 0.013130 0.441700 -0.023000 0.089887 -2.913920 14.000000
e361 1.220700 0.013010 0.013000 0.462800 -0.025700 0.089144 -3.191615 14.500000
e377 1.659200 0.058320 0.016060 0.903600 -0.124600 0.119883 -5.537328 10.000000
e385 1.544700 0.043870 0.011950 0.922700 -0.158800 0.080593 -9.448905 12.500000
e387 1.316600 0.017190 0.011080 0.621700 -0.082100 0.089037 -4.982488 11.500000
e392 1.363100 0.016310 0.011360 0.671600 -0.098000 0.085400 -5.864169 12.500000
e393 1.361400 0.015650 0.011760 0.736100 -0.118000 0.074444 -7.888003 14.000000
e395 1.489200 0.015890 0.013350 0.890400 -0.163700 0.105064 -6.474864 9.000000
e396 1.535400 0.016020 0.014260 0.889000 -0.161400 0.103809 -6.563830 9.500000
e397 1.490700 0.015780 0.015240 0.859200 -0.158100 0.104709 -6.205591 9.000000
e398 1.580300 0.014980 0.014450 0.864500 -0.151500 0.104133 -6.301857 10.000000
e399 1.572800 0.014690 0.015240 0.875900 -0.157100 0.104158 -6.409313 10.000000
e403 1.334900 0.027290 0.024440 0.464500 -0.091500 0.098187 -2.730785 13.000000
e407 1.320200 0.025130 0.024280 0.444400 -0.100000 0.095179 -2.669082 13.000000
e420 1.948600 0.047720 0.011080 1.312800 -0.224900 0.083904 -13.646508 12.000000
e421 1.893500 0.024980 0.020050 1.112600 -0.178500 0.086942 -10.797047 13.500000
e422 1.816000 0.043120 0.016910 0.885700 -0.119600 0.097476 -7.086352 12.500000
e423 1.992600 0.058330 0.020450 1.308000 -0.237300 0.091352 -12.318285 12.500000
e426 1.308500 0.009320 0.009960 0.355300 -0.023300 0.105523 -1.367052 13.500000
e428 1.257900 0.009860 0.009940 0.329800 -0.019100 0.108641 -1.035676 12.500000
e431 1.391500 0.020980 0.017200 0.635500 -0.088400 0.079465 -5.997280 13.500000
e432 1.494400 0.019870 0.017060 0.642400 -0.079800 0.096081 -4.685992 11.500000
e433 1.359200 0.007660 0.003960 0.545100 -0.076000 0.084021 -4.487631 13.500000
e434 1.333600 0.028140 0.014740 0.798700 -0.115800 0.085836 -7.304985 12.500000
e435 1.472100 0.019290 0.018980 0.793200 -0.136500 0.082907 -7.567385 13.000000
e472 1.232500 0.010740 0.013280 0.346100 -0.020700 0.109729 -1.154133 13.500000
e473 1.267400 0.014560 0.014430 0.201500 0.006000 0.105888 0.097037 14.000000
e474 1.233200 0.011700 0.013260 0.237400 0.002100 0.108800 -0.181985 14.000000
e475 1.216100 0.010790 0.014350 0.262900 -0.002300 0.104891 -0.506414 14.500000
e476 1.008300 0.013720 0.013590 0.211700 0.004400 0.077834 -0.719881 15.500000
